"","X","country","popt","ifr"
"1",1,"Denmark",5792203,0.0102074697882139
"2",2,"Norway",5421242,0.00914956406203488
"3",3,"Sweden",10099270,0.0103110432111081
"4",4,"United_Kingdom",67886004,0.0103504384028517
"5",5,"Italy",60461828,0.0124496263593357
"6",6,"Spain",46754783,0.0107838730158524
"7",7,"Austria",9006400,0.0103882259256609
"8",8,"Belgium",11589616,0.0109598776668092
"9",9,"France",65273512,0.012556187488595
"10",10,"Germany",83783945,0.0123324426034139
"11",11,"Switzerland",8654618,0.0102134528252841
