,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],4.8858147806684,0.004993620581741115,0.4223380870613903,4.112217249979135,4.588243057598319,4.871886718139974,5.16151155619818,5.751665180835432,7153.0195885637195,1.000613666188705
mu[2],6.60587412006612,0.006706583133055651,0.5457365562276776,5.590506113752198,6.2299929655355,6.589257219379178,6.959139889386871,7.741797983143497,6621.608006740827,1.0007756544501207
mu[3],4.9777736095368725,0.005521153378531275,0.4448704115563601,4.15998754907723,4.6716672113349285,4.958094392420718,5.261717353330251,5.914787461258461,6492.432142733418,1.0011503432764246
mu[4],5.329047828035402,0.003766866788554466,0.31771556909773263,4.730586812087267,5.109510007227179,5.318622891392776,5.536779340483956,5.969043527106255,7114.042742968865,1.0009654766852687
mu[5],4.52511867945713,0.006426255473087094,0.47186307978930275,3.743671178426974,4.172839904475762,4.4828947920660385,4.824837191058457,5.564256864778794,5391.57961240003,1.0011123676192835
mu[6],4.158528338598911,0.0033079284309350007,0.24596143025428022,3.7247376469804614,3.985255205574857,4.138691574833212,4.309648760972285,4.694768026408005,5528.684536489215,1.0010170315104008
mu[7],4.936750511746513,0.006025495012856762,0.5042915606016919,4.010608438050752,4.587849595146559,4.915241000369358,5.260678412514599,5.994683085128729,7004.512873384176,1.0011633652177825
mu[8],4.405667322956428,0.004572991731556629,0.3230856613560193,3.8423415994796506,4.182183312941204,4.381663627524315,4.610710772838715,5.0924627341948785,4991.539777785705,1.0011993642362402
mu[9],3.1496233780844825,0.004829217468626149,0.41702858154942657,2.531021468635394,2.848867011233977,3.0690958491957527,3.391373817753376,4.1289076713530175,7457.239922432423,1.0007095765828686
mu[10],4.787705678302464,0.0044090412385981,0.3765770264521079,4.092226497397378,4.528110352487104,4.774146929239715,5.028867437305369,5.573101003526608,7294.899647137889,1.0012642734316823
mu[11],4.121680470925773,0.0045823123958880834,0.34090716984170266,3.5598348877819417,3.877405513450566,4.084946077667883,4.328367893139909,4.881753040129752,5534.812120977708,1.0007991412582689
alpha_hier[1],0.13996665489209392,0.001916181553510734,0.16904013218582942,1.092063608782179e-09,0.0013483566261601313,0.06362620705846457,0.24230683345134407,0.5507661954450215,7782.270770461676,1.000169044910851
alpha_hier[2],0.020992452057311543,0.00040978272402020043,0.04430928341302396,2.933283580981864e-11,2.3562860474717042e-05,0.0015151893173273702,0.019186552914546698,0.1603580039998248,11691.821137243827,0.9998358973476069
alpha_hier[3],1.500971285848295,0.0021276469410918594,0.18275957758588154,1.1122544172580038,1.376842661890278,1.5147002481580425,1.6436222058975782,1.7989949473853293,7378.382481529586,1.000239044700441
alpha_hier[4],0.010947677743250547,0.000237908417799359,0.025826647143152855,1.4103436084831208e-11,1.1784260033627434e-05,0.0006755918764480946,0.008789031609444938,0.08720548239266855,11784.643267992678,0.9998405788911408
alpha_hier[5],0.16463148527501495,0.003681086883763685,0.39823614565929855,1.4239790202955603e-10,0.00015462806460018346,0.010488194284319331,0.12586421053312674,1.316119928529813,11703.862627746792,0.9999148785618274
alpha_hier[6],0.13915224013102448,0.0020565444576057875,0.16884650846526367,1.5343383863659716e-09,0.0013853056634636207,0.06359380898221625,0.23836372241387882,0.5556358042711267,6740.746021730392,1.0005933683341888
alpha_hier[7],0.16985363144799923,0.0039197284572825035,0.41987711511578957,1.3506161448330202e-10,0.00017126964357604466,0.010747315311061552,0.12864872322232535,1.3627557620132298,11474.46499387939,1.000011091259263
gamma,0.1579383073361715,0.0011235740503707976,0.12072526274462006,0.005970137863946335,0.06175459437209252,0.1322702860940071,0.2286161274857911,0.447119604968514,11544.972900424993,0.9998600071492961
kappa,1.35954838681149,0.0028710990969104434,0.24980975920685308,0.9150338075697604,1.1838989972784328,1.342679476293178,1.5176847477089526,1.8895179217910352,7570.4629156815545,1.0009312138602273
y[1],104.34697153131702,0.4750868109139905,40.17058380772659,46.519649508507484,75.62065689825988,97.40063804785629,125.7566681899527,199.62507202837224,7149.412232309312,1.0003073679109062
y[2],35.91614149668974,0.19763407622138007,17.687572694117453,12.593255302735376,23.309465882938056,32.32691426418662,44.24256566166926,80.53843327431171,8009.636727532221,1.0002724533986995
y[3],37.26265231040875,0.1753388119494536,16.086489837046187,14.92176402242097,25.991372348349785,34.16968300683307,45.27930314942766,76.71545452398101,8417.176979279557,1.001451868508535
y[4],8.570385284929825,0.044439964371007404,4.026936489218231,3.1912392514800065,5.712099186274495,7.776238634874991,10.561075381137211,18.70438135964299,8211.115407968184,1.0006364822039782
y[5],17.098947555789355,0.10043667690045678,8.579396905260948,5.473663110682436,10.926014237649097,15.41312927206888,21.47953273236263,38.20381818486902,7296.739633734741,1.0005794666711532
