"","DateRep","Cases","Deaths","Country"
"1",2019-12-31,0,0,"Austria"
"2",2020-01-01,0,0,"Austria"
"3",2020-01-02,0,0,"Austria"
"4",2020-01-03,0,0,"Austria"
"5",2020-01-04,0,0,"Austria"
"6",2020-01-05,0,0,"Austria"
"7",2020-01-06,0,0,"Austria"
"8",2020-01-07,0,0,"Austria"
"9",2020-01-08,0,0,"Austria"
"10",2020-01-09,0,0,"Austria"
"11",2020-01-10,0,0,"Austria"
"12",2020-01-11,0,0,"Austria"
"13",2020-01-12,0,0,"Austria"
"14",2020-01-13,0,0,"Austria"
"15",2020-01-14,0,0,"Austria"
"16",2020-01-15,0,0,"Austria"
"17",2020-01-16,0,0,"Austria"
"18",2020-01-17,0,0,"Austria"
"19",2020-01-18,0,0,"Austria"
"20",2020-01-19,0,0,"Austria"
"21",2020-01-20,0,0,"Austria"
"22",2020-01-21,0,0,"Austria"
"23",2020-01-22,0,0,"Austria"
"24",2020-01-23,0,0,"Austria"
"25",2020-01-24,0,0,"Austria"
"26",2020-01-25,0,0,"Austria"
"27",2020-01-26,0,0,"Austria"
"28",2020-01-27,0,0,"Austria"
"29",2020-01-28,0,0,"Austria"
"30",2020-01-29,0,0,"Austria"
"31",2020-01-30,0,0,"Austria"
"32",2020-01-31,0,0,"Austria"
"33",2020-02-01,0,0,"Austria"
"34",2020-02-02,0,0,"Austria"
"35",2020-02-03,0,0,"Austria"
"36",2020-02-04,0,0,"Austria"
"37",2020-02-05,0,0,"Austria"
"38",2020-02-06,0,0,"Austria"
"39",2020-02-07,0,0,"Austria"
"40",2020-02-08,0,0,"Austria"
"41",2020-02-09,0,0,"Austria"
"42",2020-02-10,0,0,"Austria"
"43",2020-02-11,0,0,"Austria"
"44",2020-02-12,0,0,"Austria"
"45",2020-02-13,0,0,"Austria"
"46",2020-02-14,0,0,"Austria"
"47",2020-02-15,0,0,"Austria"
"48",2020-02-16,0,0,"Austria"
"49",2020-02-17,0,0,"Austria"
"50",2020-02-18,0,0,"Austria"
"51",2020-02-19,0,0,"Austria"
