Data as of,Start Week,End Week,Condition Group,Condition,ICD10_codes,All ages,0-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over
06/21/2020,02/01/2020,06/20/2020,Coronavirus Disease 2019,Coronavirus Disease 2019,U071,106008,156,719,1817,5123,12628,22065,28218,35276
06/21/2020,02/01/2020,06/20/2020,Respiratory diseases,Influenza and pneumonia,J09-J18,44192,56,328,793,2339,5724,9688,11917,13345
06/21/2020,02/01/2020,06/20/2020,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,8779,10,39,78,255,960,2032,2750,2654
06/21/2020,02/01/2020,06/20/2020,Respiratory diseases,Adult respiratory distress syndrome,J80,15243,39,143,382,1146,2476,3974,3823,3258
06/21/2020,02/01/2020,06/20/2020,Respiratory diseases,Respiratory failure,J96,36038,43,233,593,1775,4423,8026,10037,10906
06/21/2020,02/01/2020,06/20/2020,Respiratory diseases,Respiratory arrest,R09.2,2272,1,13,32,101,234,458,616,817
06/21/2020,02/01/2020,06/20/2020,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",3445,7,18,51,148,367,671,964,1219
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Hypertensive diseases,I10-I15,22613,9,63,254,895,2527,4899,6240,7725
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Ischemic heart disease,I20-I25,11347,2,6,43,230,967,2233,3383,4482
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Cardiac arrest,I46,14006,28,124,274,847,1939,3094,3548,4152
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",6195,4,15,25,128,425,1025,1799,2774
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Heart failure,I50,6849,2,24,35,151,538,1136,1861,3102
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Cerebrovascular diseases,I60-I69,4889,3,13,43,159,530,1059,1431,1650
06/21/2020,02/01/2020,06/20/2020,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",5493,19,53,129,278,679,1151,1402,1782
06/21/2020,02/01/2020,06/20/2020,Sepsis,Sepsis,A40-A41,8660,17,76,182,570,1419,2299,2269,1828
06/21/2020,02/01/2020,06/20/2020,Malignant neoplasms,Malignant neoplasms,C00-C97,4744,8,19,55,155,597,1241,1446,1223
06/21/2020,02/01/2020,06/20/2020,Diabetes,Diabetes,E10-E14,15781,22,97,317,1034,2445,4198,4275,3392
06/21/2020,02/01/2020,06/20/2020,Obesity,Obesity,E65-E68,2942,30,146,316,522,736,689,378,125
06/21/2020,02/01/2020,06/20/2020,Alzheimer disease,Alzheimer disease,G30,3487,0,0,0,2,37,237,1005,2206
06/21/2020,02/01/2020,06/20/2020,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",12510,0,0,1,14,198,1136,3587,7574
06/21/2020,02/01/2020,06/20/2020,Renal failure,Renal failure,N17-N19,8679,8,71,150,540,1202,2138,2351,2217
06/21/2020,02/01/2020,06/20/2020,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",2910,7,47,78,154,332,539,712,1039
06/21/2020,02/01/2020,06/20/2020,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",49191,115,398,844,2487,6330,11218,13059,14734
