TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02PR,04000US72,Puerto Rico,,0,SELECTED SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,
DP02PR,04000US72,Puerto Rico,,0.5,SELECTED SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,
DP02PR,04000US72,Puerto Rico,,0.8,HOUSEHOLDS BY TYPE,,,,
DP02PR,04000US72,Puerto Rico,1,1,Total households,"1,179,637","+/-9,819","1,179,637",(X)
DP02PR,04000US72,Puerto Rico,1,2,Family households (families),"791,354","+/-11,339",67.1,+/-0.7
DP02PR,04000US72,Puerto Rico,1,3,With own children of the householder under 18 years,"268,032","+/-7,119",22.7,+/-0.5
DP02PR,04000US72,Puerto Rico,1,4,Married-couple family,"438,070","+/-8,214",37.1,+/-0.6
DP02PR,04000US72,Puerto Rico,1,5,With own children of the householder under 18 years,"114,276","+/-4,765",9.7,+/-0.4
DP02PR,04000US72,Puerto Rico,1,6,"Male householder, no wife present, family","82,218","+/-4,876",7.0,+/-0.4
DP02PR,04000US72,Puerto Rico,1,7,With own children of the householder under 18 years,"34,827","+/-3,377",3.0,+/-0.3
DP02PR,04000US72,Puerto Rico,1,8,"Female householder, no husband present, family","271,066","+/-6,470",23.0,+/-0.5
DP02PR,04000US72,Puerto Rico,1,9,With own children of the householder under 18 years,"118,929","+/-4,884",10.1,+/-0.4
DP02PR,04000US72,Puerto Rico,1,10,Nonfamily households,"388,283","+/-7,736",32.9,+/-0.7
DP02PR,04000US72,Puerto Rico,1,11,Householder living alone,"335,367","+/-7,586",28.4,+/-0.6
DP02PR,04000US72,Puerto Rico,1,12,65 years and over,"166,543","+/-5,255",14.1,+/-0.5
DP02PR,04000US72,Puerto Rico,,12.3,,,,,
DP02PR,04000US72,Puerto Rico,1,13,Households with one or more people under 18 years,"320,217","+/-7,205",27.1,+/-0.5
DP02PR,04000US72,Puerto Rico,1,14,Households with one or more people 65 years and over,"464,544","+/-5,242",39.4,+/-0.4
DP02PR,04000US72,Puerto Rico,,14.3,,,,,
DP02PR,04000US72,Puerto Rico,1,15,Average household size,2.68,+/-0.02,(X),(X)
DP02PR,04000US72,Puerto Rico,1,16,Average family size,3.32,+/-0.04,(X),(X)
