FIPS,State,County,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1018,PctEmpChange1718,PctEmpChange0718,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,NumUnemployed2010,NumUnemployed2011,NumCivLaborForce2011,UnempRate2011,NumEmployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,NumCivLaborForce2012,NumEmployed2008,NumCivLaborForce2008,UnempRate2009,NumUnemployed2008,NumUnemployed2014,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2015,NumEmployed2007,NumUnemployed2015,UnempRate2012,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2013,NumCivLaborforce2013,NumUnemployed2007,NumCivLaborforce2007,NumUnemployed2012,NumEmployed2012,NumEmployed2015
00000,US,United States,,,,,,,,,,,,1.284583927,0.544318208,6.465189538,10.18128899,13.92313025,5.227259437,2.071683517,6.557098079,49.1101774,4.635270641,152739884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01000,AL,Alabama,3.90,4.40,5.80,6.00,6.80,10.50,4.00,7.52,1.47,1.11,-5.96,1.069577427,0.418932272,6.53722141,14.2438417,14.32594279,5.366570553,1.577785611,5.537273415,45.48631777,5.436537058,2076708,231483,212257,2202670,9.60,1990413,1964559,2196042,238252,1924747,2162999,5.70,2176337,2053477,2176489,11.00,123012,146552,86490,2112347,2198837,96567,2081676,2178243,127238,2049971,2177209,2158293,2089127,131395,8.00,2014290,2160842,7.20,156957,2017043,2174000,86485,2175612,173047,2003290,2026898
01001,AL,Autauga,3.60,3.90,5.10,5.00,5.80,8.90,3.30,6.76,0.23,6.10,-0.62,0.551318189,0.331619964,6.00232134,12.94561433,11.64815122,6.984745482,1.629083071,6.259326811,43.39661748,10.25120212,24124,2282,2159,25836,8.40,23677,23431,25713,2402,22301,24703,5.10,25740,23420,24687,9.70,1267,1495,942,25015,25957,1014,24958,25972,1321,24645,25966,25613,23577,1330,6.90,24097,25592,6.20,1605,24205,25810,806,24383,1779,23961,24283
01003,AL,Baldwin,3.60,4.10,5.30,5.00,6.10,10.00,3.10,20.42,2.39,12.93,-6.22,0.956317802,0.371603894,8.269525268,9.119823515,16.80035126,4.925090224,1.369686975,7.398879834,45.7222716,5.06644963,93379,8339,7627,85045,9.00,77418,75120,83459,8048,74403,82451,4.60,84414,79372,83223,9.80,3851,5301,3393,90456,93849,3748,88342,92090,4831,85839,90670,87741,80099,4859,7.50,81083,86384,6.60,5654,79626,85280,2560,82659,6349,78065,82882
01005,AL,Barbour,5.20,5.80,8.30,8.00,10.50,12.30,6.30,-11.37,1.39,-18.01,-7.49,4.403669725,0.114678899,6.25,23.88761468,13.4059633,6.915137615,0.240825688,3.967889908,33.71559633,7.098623853,8720,1262,1137,9849,11.50,8712,8959,10221,1431,8572,10003,8.80,9362,9267,10161,14.30,894,932,433,7940,8373,486,7831,8317,700,7717,8417,8613,9684,765,11.50,7913,8845,10.20,931,8168,9099,650,10334,1079,8283,7848
01007,AL,Bibb,4.00,4.40,6.40,6.00,7.20,11.40,4.10,5.09,1.75,-1.36,-6.14,1.901469317,4.086924312,9.013458452,18.70601309,10.86553896,4.88949253,1.308803556,4.580812446,39.37523151,5.272255834,8099,1020,937,8933,10.50,7996,7914,8934,1161,7581,8742,5.80,8798,8241,8749,13.30,508,617,344,8317,8661,376,8174,8550,556,8067,8623,8576,8432,567,8.50,7942,8559,7.90,689,8016,8705,359,8791,751,8047,8009
01009,AL,Blount,3.50,4.00,5.40,5.00,6.10,9.80,3.20,7.43,1.69,-6.41,-12.88,1.485055748,0.796402136,9.463131266,16.41056872,15.35650707,6.863112527,1.250819826,5.837159187,37.95090415,4.586339361,21346,2446,2184,25123,8.70,22939,22460,24906,2648,23832,26480,4.70,24960,25453,26698,10.00,1245,1504,878,24128,25006,999,23726,24725,1325,23298,24623,24485,25780,1322,6.90,23023,24527,6.30,1562,23325,24887,849,26629,1716,23244,23163
01011,AL,Bullock,4.70,4.90,6.80,7.00,8.80,11.80,9.40,4.50,-0.94,37.61,31.68,5.939086294,0,4.923857868,33.75634518,7.411167513,5.203045685,0.431472081,2.30964467,33.47715736,6.54822335,3940,585,561,4833,11.60,4272,4356,4941,583,3156,3739,10.50,4736,3251,3634,15.60,383,418,224,4552,4776,238,4595,4833,330,4503,4833,4779,3308,379,10.40,4314,4732,9.40,447,4331,4778,345,3653,491,4245,4400
01013,AL,Butler,4.80,5.50,6.90,7.00,8.60,13.60,6.20,6.11,0.49,-0.61,-6.34,2.891566265,0.063411541,5.618262524,24.032974,12.63157895,4.590995561,1.306277743,3.031071655,40.34242232,5.491439442,7885,1263,1146,9188,12.50,8042,7998,9261,1489,7615,9104,8.50,9088,8278,9051,16.40,773,793,427,8487,8914,495,8446,8941,635,8571,9206,9138,8539,694,11.50,8477,9270,10.30,941,8206,9147,560,9099,1049,8039,8444
01015,AL,Calhoun,4.70,5.00,6.50,7.00,8.00,11.40,3.90,-4.08,0.77,-16.84,-13.30,1.0756484,0.15781714,6.036505596,17.63814191,15.06738377,4.611998256,1.526257865,4.352430592,42.36351932,7.170297153,48157,5860,5305,51268,10.30,45963,45699,51559,5996,47929,53925,5.70,49649,51468,54564,11.10,3096,3770,2139,43833,45972,2273,43497,45770,2996,42906,45902,45928,52709,3229,8.90,43467,47237,8.80,4242,44163,48405,2152,54861,4397,45252,42699
