FIPS,State,County,Vets18OPct,GulfWar2VetsPct,GulfWar1VetsPct,VietnamEraVetsPct,KoreanWarVetsPct,WW2VetsPct,MaleVetsPct,FemaleVetsPct,WhiteNonHispVetsPct,BlackVetsPct,HispanicVetsPct,OtherRaceVetsPct,MedianVetsInc,MedianNonVetsInc,LessThanHSVetsPct,HighSchOnlyVetsPct,SomeCollegeVetsPct,CollegeDegreeVetsPct,LFPVetsRate,UEVetsRate,PctVetsPoor,PctNonVetsPoor,PctVetsDisabilty,PctNonVetsDisabilty,CivPopVets18to64Num,CivPop18ONum,Vets18ONum,NonVetsDisabilty,NonVetsPoor,VetsDisabilty,VetsPoor,CLFVets18to64Num
00000,US,United States,7.494853614,18.03760184,20.08408058,35.82127909,8.831792202,4.239174073,91.35909048,8.640909523,77.66583463,11.71145777,6.72248648,5.77505804,40842,29777,6.211947997,28.21147576,37.23263081,28.34394544,76.26693184,4.878261782,8.478275093,13.47957097,18.1515545,9.982234176,7168168,248322822,18611432,18433042,24891171,1681238,785277,9398789
01000,AL,Alabama,8.941361969,20.07842693,24.18392188,36.55285028,7.967246625,2.80721933,90.37839803,9.621601971,72.95194563,22.64518071,1.889457358,3.068543112,39362,24500,6.595191389,28.29721903,37.62757523,27.48001434,71.3419608,4.641532756,9.611101785,17.05626583,22.23658441,13.85341228,129440,3753332,335599,374907,461584,39739,17176,181436
01001,AL,Autauga,12.28320899,31.69000197,40.82035102,32.93236048,9.347268783,4.811674226,88.79905344,11.20094656,84.48037862,10.76710708,4.456714652,1.40011832,57995,26203,3.224522293,21.41719745,31.0111465,44.34713376,84.57429048,3.434662456,4.781144781,15.19451106,18.95622896,15.92725819,2533,41284,5071,4782,4562,563,142,2995
01003,AL,Baldwin,11.93792329,16.79239434,20.84323654,41.72780821,9.667252248,3.125968792,90.82360236,9.176397644,91.13361579,5.595742482,1.193551721,2.350935207,40235,27345,3.78389632,27.53864571,36.45968875,32.21776922,76.9515918,2.550297535,7.004964148,10.6784602,17.10976282,10.74907656,7058,162122,19354,11873,11795,1551,635,9172
01005,AL,Barbour,7.672269734,12.55605381,21.20435618,40.99935939,8.263933376,3.97181294,90.19859065,9.801409353,61.75528507,35.74631646,0.896860987,2.498398463,27245,17768,11.33888533,41.96028187,34.27290199,12.42793081,49.04371585,3.342618384,12.72141707,26.04376968,38.16425121,17.90357749,359,20346,1561,2217,3225,237,79,732
01007,AL,Bibb,7.15245131,11.50234742,25.43035994,34.74178404,7.433489828,3.677621283,97.49608764,2.503912363,84.27230047,14.24100156,1.095461659,0.391236307,33341,21723,6.83081811,50.83399523,30.02382844,12.31135822,54.33070866,0,8.532423208,13.56984856,28.83959044,14.02926663,345,17868,1278,1649,1595,169,50,635
01009,AL,Blount,8.532384535,13.86454183,13.25365206,35.88313413,10.94289509,1.646746348,94.10358566,5.896414343,93.30677291,2.682602922,2.310756972,3.79814077,32852,26194,10.13333333,37.12,37.41333333,15.33333333,61.67061611,6.340057637,7.168246445,13.17137147,26.007109,11.57569323,1041,44126,3765,3707,4218,439,121,1688
01011,AL,Bullock,4.340404779,17.97752809,25,37.92134831,6.460674157,1.404494382,78.37078652,21.62921348,33.70786517,66.29213483,0,0,35255,20751,11.51685393,21.62921348,39.88764045,26.96629213,64.39790576,0,14.65968586,26.1877551,24.60732984,12.27755102,123,8202,356,752,1604,47,28,191
01013,AL,Butler,7.600181265,17.37649063,17.120954,37.47870528,10.39182283,5.877342419,90.97103918,9.028960818,55.53662692,39.94889267,0,4.514480409,32483,19231,8.304794521,31.93493151,36.98630137,22.7739726,55.93869732,10.95890411,12.47563353,22.86260585,24.75633528,15.47846672,292,15447,1174,1700,2511,127,64,522
01015,AL,Calhoun,10.65629568,18.11708032,20.65137711,43.41815897,5.644570112,1.853597235,92.12482983,7.875170175,74.88742277,20.34768039,1.570845115,3.194051733,38996,22022,6.538015396,28.20837288,43.88906464,21.36454708,71.35007849,4.01540154,10.42738425,18.74316333,33.161852,17.98855404,3636,89609,9549,11347,11823,1676,527,5096
01017,AL,Chambers,8.240077589,19.82797646,14.44092349,48.34766863,4.391127207,2.761430512,92.71163422,7.288365776,67.85875962,27.52376641,3.304662743,1.312811227,27227,21814,14.00282885,31.35313531,40.40546912,14.23856671,73.24602432,1.787994891,17.53063148,15.9018533,26.20169651,14.53928478,783,26808,2209,2785,3046,278,186,1069
01019,AL,Cherokee,10.14246122,11.50527325,14.71716203,45.25407478,5.848513902,3.595397891,93.91179291,6.088207095,96.26078619,3.020134228,0,0.719079578,31250,21786,13.85512883,40.69032572,32.37724842,13.07729703,81.44329897,0.316455696,5.798969072,15.71276218,18.29896907,17.55421258,632,20567,2086,2469,2210,142,45,776
01021,AL,Chilton,8.10924496,12.04149685,21.60059281,43.3123379,6.669136717,1.000370508,90.292701,9.707299,80.84475732,11.67098926,3.779177473,5.816969248,36039,23583,8.466394356,47.38210175,29.63238025,14.51912365,70.40065413,2.555168409,9.440267335,19.0720205,23.47535505,17.35057448,861,33283,2699,4334,4764,281,113,1223
01023,AL,Choctaw,7.395683453,12.1919585,18.41763943,30.35019455,9.079118029,2.983138781,94.16342412,5.836575875,63.03501946,36.96498054,0,0,32820,20377,9.987029831,50.19455253,35.01945525,4.798962387,51.91815857,6.403940887,7.928388747,21.83679272,32.73657289,25.53312482,203,10425,771,1796,1536,128,31,391
