TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,04000US01,Alabama,,0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,04000US01,Alabama,,0.5,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,04000US01,Alabama,,0.8,HOUSEHOLDS BY TYPE,,,,
DP02,04000US01,Alabama,1,1,Total households,"1,855,184","+/-11,821","1,855,184",(X)
DP02,04000US01,Alabama,1,2,Family households (families),"1,214,794","+/-12,486",65.5,+/-0.6
DP02,04000US01,Alabama,1,3,With own children of the householder under 18 years,"466,487","+/-9,881",25.1,+/-0.5
DP02,04000US01,Alabama,1,4,Married-couple family,"879,227","+/-11,979",47.4,+/-0.6
DP02,04000US01,Alabama,1,5,With own children of the householder under 18 years,"303,879","+/-8,569",16.4,+/-0.4
DP02,04000US01,Alabama,1,6,"Male householder, no wife present, family","77,949","+/-5,181",4.2,+/-0.3
DP02,04000US01,Alabama,1,7,With own children of the householder under 18 years,"34,384","+/-3,630",1.9,+/-0.2
DP02,04000US01,Alabama,1,8,"Female householder, no husband present, family","257,618","+/-6,930",13.9,+/-0.4
DP02,04000US01,Alabama,1,9,With own children of the householder under 18 years,"128,224","+/-5,577",6.9,+/-0.3
DP02,04000US01,Alabama,1,10,Nonfamily households,"640,390","+/-12,125",34.5,+/-0.6
DP02,04000US01,Alabama,1,11,Householder living alone,"555,330","+/-10,360",29.9,+/-0.5
DP02,04000US01,Alabama,1,12,65 years and over,"215,966","+/-5,573",11.6,+/-0.3
DP02,04000US01,Alabama,,12.3,,,,,
DP02,04000US01,Alabama,1,13,Households with one or more people under 18 years,"547,610","+/-10,660",29.5,+/-0.5
DP02,04000US01,Alabama,1,14,Households with one or more people 65 years and over,"576,191","+/-5,116",31.1,+/-0.3
DP02,04000US01,Alabama,,14.3,,,,,
DP02,04000US01,Alabama,1,15,Average household size,2.57,+/-0.02,(X),(X)
DP02,04000US01,Alabama,1,16,Average family size,3.21,+/-0.03,(X),(X)
DP02,04000US01,Alabama,,16.3,,,,,
DP02,04000US01,Alabama,,16.5,RELATIONSHIP,,,,
DP02,04000US01,Alabama,1,17,Population in households,"4,770,428",*****,"4,770,428",(X)
DP02,04000US01,Alabama,1,18,Householder,"1,855,184","+/-11,821",38.9,+/-0.2
DP02,04000US01,Alabama,1,19,Spouse,"880,143","+/-11,860",18.4,+/-0.2
DP02,04000US01,Alabama,1,20,Child,"1,428,043","+/-16,270",29.9,+/-0.3
DP02,04000US01,Alabama,1,21,Other relatives,"380,172","+/-13,955",8.0,+/-0.3
DP02,04000US01,Alabama,1,22,Nonrelatives,"226,886","+/-11,246",4.8,+/-0.2
DP02,04000US01,Alabama,1,23,Unmarried partner,"81,480","+/-5,351",1.7,+/-0.1
DP02,04000US01,Alabama,,23.3,,,,,
DP02,04000US01,Alabama,,23.5,MARITAL STATUS,,,,
DP02,04000US01,Alabama,1,24,Males 15 years and over,"1,903,181","+/-3,552","1,903,181",(X)
DP02,04000US01,Alabama,1,25,Never married,"648,247","+/-9,029",34.1,+/-0.5
DP02,04000US01,Alabama,1,26,"Now married, except separated","938,647","+/-11,546",49.3,+/-0.6
DP02,04000US01,Alabama,1,27,Separated,"36,401","+/-3,415",1.9,+/-0.2
DP02,04000US01,Alabama,1,28,Widowed,"59,463","+/-3,653",3.1,+/-0.2
