,Country,drop_start,drop_end,peak_date,peak_value
0,Afghanistan,2020-03-20 00:00:00,2020-04-03 00:00:00,,
1,Argentina,2020-03-13 00:00:00,2020-03-28 00:00:00,2020-05-24 00:00:00,
2,Austria,2020-03-13 00:00:00,2020-03-23 00:00:00,2020-04-23 00:00:00,
3,Bangladesh,2020-03-23 00:00:00,2020-04-03 00:00:00,,
4,Belgium,2020-03-15 00:00:00,2020-03-25 00:00:00,2020-04-25 00:00:00,
5,Bolivia,2020-03-19 00:00:00,2020-03-31 00:00:00,2020-05-25 00:00:00,
6,Bosnia_and_Herzegovina,2020-03-19 00:00:00,2020-03-29 00:00:00,2020-05-09 00:00:00,
7,Brazil,2020-03-19 00:00:00,2020-03-29 00:00:00,,
8,Cameroon,2020-03-20 00:00:00,2020-04-01 00:00:00,2020-05-11 00:00:00,
9,Canada,2020-03-15 00:00:00,2020-03-30 00:00:00,2020-04-30 00:00:00,
10,Chile,2020-03-18 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,
11,Colombia,2020-03-18 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,
12,Czechia,2020-03-13 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,
13,Denmark,2020-03-10 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,
14,Dominican_Republic,2020-03-18 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,
15,Ecuador,2020-03-16 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,
16,Egypt,2020-03-11 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
17,Finland,2020-03-14 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,
18,France,2020-03-15 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,
19,Germany,2020-03-17 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,
,Guatemala,2020-03-17 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,
20,Honduras,2020-03-20 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,
21,Hungary,2020-03-16 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,
22,India,2020-03-21 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
23,Indonesia,2020-03-18 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
,Iraq,2020-03-18 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
24,Ireland,2020-03-16 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,
25,Israel,2020-03-12 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,
26,Italy,2020-03-11 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,
27,Japan,2020-02-26 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,
28,Kuwait,2020-02-24 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,
29,Mexico,2020-03-18 00:00:00,2020-04-12 00:00:00,2020-04-12 00:00:00,
30,Moldova,2020-03-16 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,
31,Netherlands,2020-03-15 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,
,Nicaragua,2020-03-19 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
32,Nigeria,2020-03-25 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,
33,Norway,2020-03-12 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,
34,Pakistan,2020-03-21 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
35,Panama,2020-03-16 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
36,Peru,2020-03-15 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,
37,Philippines,2020-03-11 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,
38,Poland,2020-03-14 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,
39,Portugal,2020-03-16 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,
40,Romania,2020-03-12 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
41,Saudi_Arabia,2020-03-14 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
42,Serbia,2020-03-17 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,
43,South_Africa,2020-03-16 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,
44,Spain,2020-03-13 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,
45,Sweden,2020-03-15 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,
46,Switzerland,2020-03-15 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,
47,Turkey,2020-03-20 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,
48,United_Arab_Emirates,2020-03-13 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,
49,United_Kingdom,2020-03-15 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,
50,United_States_of_America,2020-03-11 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,
,Yemen,2020-04-18 00:00:00,2020-04-26 00:00:00,2020-03-26 00:00:00,
