,Country,Deaths per million,drop_start_deaths,drop_end_deaths,drop_start_cases,drop_end_cases,Cases per million,drop_duration,retail,grocery and pharmacy,transit,work,residential
0,Afghanistan,"[0.05380337974538411, 0.04996028119214239, 0.08454816817131788, 0.16141013923615233, 0.11529295659725165]",0.0,0.011529295659725165,0.069175773958351,0.6148957685186756,"[1.191360551504934, 1.8715889954287186, 3.4203577123851328, 5.349593186112477, 6.825343030557299]",14,-38.0,-19.857142857142858,-33.714285714285715,-29.857142857142858,10.428571428571429
1,Argentina,"[0.14448012989495712, 0.1155841039159657, 0.16053347766106346, 0.17016548632072725, 0.2054828514061612]",0.003210669553221269,0.04494937374509777,0.09953075614985935,1.7080762023137153,"[2.4433195300013857, 2.1383059224453653, 2.7708078244299554, 3.184984196795499, 3.027661388687657]",15,-84.57142857142857,-55.57142857142857,-79.28571428571429,-68.0,29.714285714285715
2,Austria,"[2.21220150559205, 1.856957468197706, 1.5824507120293494, 1.2272066746350057, 0.4036864061299361]",0.016147456245197443,0.24221184367796164,5.167185998463182,44.74460125544211,"[34.216459783573384, 19.37694749423693, 8.671184003671026, 7.088733291641677, 4.020716605054163]",10,-81.14285714285714,-34.42857142857143,-67.57142857142857,-54.714285714285715,21.857142857142858
3,Bangladesh,"[0.05046515267307189, 0.04780909200606811, 0.028331313781373692, 0.04515303133906432, 0.0885353555667928]",0.002656060667003784,0.0008853535556679279,0.02124848533603027,0.007082828445343423,"[1.6246237746506478, 2.6206465247770665, 3.575943011342761, 4.6056091965845605, 6.738425912188599]",11,-69.0,-46.0,-66.0,-55.857142857142854,23.142857142857142
4,Belgium,"[25.802182732083693, 26.352495887784944, 18.31041954424165, 10.606035364424125, 10.205807614823215]",0.0500284687001138,1.4633327094783288,6.503700931014794,37.84653657163609,"[119.90573235699776, 114.62772890913574, 101.83294803908164, 52.42983519771927, 38.5094137819126]",10,-75.14285714285714,-26.714285714285715,-66.14285714285714,-57.857142857142854,24.0
5,Bolivia,"[0.1384135397433214, 0.1384135397433214, 0.2390779322839188, 0.4026575701623895, 0.6417355024463083]",0.0,0.07549829440544803,0.15099658881089606,0.9940608763383992,"[2.227199684960717, 2.9066843346097495, 5.511375491597707, 9.764446076437947, 15.879807923279236]",12,-88.28571428571429,-78.85714285714286,-86.57142857142857,-78.85714285714286,39.714285714285715
6,Bosnia_and_Herzegovina,"[0.21489198905443355, 0.5157407737306405, 0.4297839781088671, 1.031481547461281, 1.461265525570148]",0.0,0.17191359124354683,1.5472223211919216,7.091435638796308,"[12.205864978291824, 11.475232215506752, 9.498225916205964, 17.1483807265438, 8.337809175312023]",10,-73.28571428571429,-41.0,-66.14285714285714,-52.285714285714285,20.285714285714285
7,Brazil,"[0.6383477896226734, 0.7979347370283417, 1.745908484438081, 2.0937261903222297, 3.146045249497214]",0.0027279820069345015,0.06547156816642803,0.25643030865184313,1.893219512812544,"[8.451970252984818, 11.891955563729226, 22.100064233678133, 32.09198032957748, 43.48130520852902]",10,-69.0,-29.428571428571427,-60.714285714285715,-45.42857142857143,20.857142857142858
8,Cameroon,"[0.06231812349434102, 0.15862795071286806, 0.06798340744837203, 0.26626834583945713, 0.17562380257496107]",0.0,0.02832641977015501,0.07364869140240303,0.6854993584377512,"[0.7081604942538753, 3.0932450389009274, 2.4417373841873617, 2.4530679520954237, 3.9033806443273606]",12,-21.285714285714285,-15.0,-18.571428571428573,-11.714285714285714,8.857142857142858
9,Canada,"[1.626755944266447, 3.1378657313575546, 3.8471621620329723, 4.2442139683349716, 4.344440637886933]",0.003854871905844661,0.1580497481396311,0.7208610463929517,18.59975694570049,"[36.309038481150864, 38.702913934680396, 46.258462870135936, 43.841458185171334, 42.35733250142114]",15,-53.42857142857143,-21.857142857142858,-65.14285714285714,-53.0,21.0
