,DateRep,day,month,year,Cases,Deaths,Countries.and.territories,geoId,countryterritoryCode,popData2018,t
79,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386,2019.99726027397
78,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020
77,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.00273224044
76,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.00546448087
75,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.00819672131
74,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.01092896175
73,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.01366120219
72,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.01639344262
71,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.01912568306
70,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.0218579235
69,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.02459016393
68,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.02732240437
67,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.03005464481
66,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.03278688525
65,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.03551912568
64,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.03825136612
63,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.04098360656
62,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.04371584699
61,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.04644808743
60,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.04918032787
59,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.05191256831
58,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.05464480874
57,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.05737704918
56,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.06010928962
55,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.06284153005
54,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.06557377049
53,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.06830601093
52,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.07103825137
51,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.0737704918
50,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.07650273224
49,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.07923497268
48,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386,2020.08196721311
47,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.08469945355
46,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.08743169399
45,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.09016393443
44,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.09289617486
43,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.0956284153
42,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.09836065574
41,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.10109289617
40,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.10382513661
39,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.10655737705
38,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.10928961749
37,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.11202185792
36,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.11475409836
35,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.1174863388
34,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.12021857923
33,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.12295081967
32,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.12568306011
31,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.12841530055
30,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.13114754098
29,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.13387978142
28,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.13661202186
27,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.1393442623
26,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.14207650273
25,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.14480874317
24,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.14754098361
23,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386,2020.15027322404
22,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.15300546448
21,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.15573770492
20,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.15846994536
19,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020.16120218579
18,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020.16393442623
17,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020.16666666667
16,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386,2020.18306010929
15,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386,2020.1912568306
14,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386,2020.20218579235
13,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386,2020.20491803279
12,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386,2020.20765027322
11,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386,2020.21038251366
10,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020.2131147541
9,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020.21584699454
8,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386,2020.21857923497
7,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020.22131147541
6,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386,2020.22404371585
5,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386,2020.22677595628
4,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386,2020.22950819672
3,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386,2020.23224043716
2,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020.2349726776
1,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386,2020.23770491803
106,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376,2020.18579234973
105,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376,2020.18852459016
104,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376,2020.1912568306
103,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376,2020.19398907104
102,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376,2020.19672131148
101,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376,2020.19945355191
100,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376,2020.20218579235
99,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376,2020.20491803279
98,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376,2020.20765027322
97,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2866376,2020.21038251366
96,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2866376,2020.2131147541
95,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2866376,2020.21584699454
94,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2866376,2020.21857923497
93,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2866376,2020.22131147541
92,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2866376,2020.22404371585
91,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2866376,2020.22677595628
90,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2866376,2020.22950819672
89,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2866376,2020.23224043716
88,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2866376,2020.2349726776
87,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376,2020.23770491803
221,31/12/2019,31,12,2019,0,0,Algeria,DZ,DZA,42228429,2019.99726027397
220,01/01/2020,1,1,2020,0,0,Algeria,DZ,DZA,42228429,2020
219,02/01/2020,2,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.00273224044
218,03/01/2020,3,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.00546448087
217,04/01/2020,4,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.00819672131
216,05/01/2020,5,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.01092896175
215,06/01/2020,6,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.01366120219
214,07/01/2020,7,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.01639344262
213,08/01/2020,8,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.01912568306
212,09/01/2020,9,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.0218579235
211,10/01/2020,10,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.02459016393
210,11/01/2020,11,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.02732240437
209,12/01/2020,12,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.03005464481
208,13/01/2020,13,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.03278688525
207,14/01/2020,14,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.03551912568
206,15/01/2020,15,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.03825136612
205,16/01/2020,16,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.04098360656
204,17/01/2020,17,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.04371584699
203,18/01/2020,18,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.04644808743
202,19/01/2020,19,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.04918032787
201,20/01/2020,20,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.05191256831
200,21/01/2020,21,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.05464480874
199,22/01/2020,22,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.05737704918
198,23/01/2020,23,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.06010928962
197,24/01/2020,24,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.06284153005
196,25/01/2020,25,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.06557377049
195,26/01/2020,26,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.06830601093
194,27/01/2020,27,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.07103825137
193,28/01/2020,28,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.0737704918
192,29/01/2020,29,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.07650273224
191,30/01/2020,30,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.07923497268
190,31/01/2020,31,1,2020,0,0,Algeria,DZ,DZA,42228429,2020.08196721311
189,01/02/2020,1,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.08469945355
188,02/02/2020,2,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.08743169399
187,03/02/2020,3,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.09016393443
186,04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.09289617486
185,05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.0956284153
184,06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.09836065574
183,07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.10109289617
182,08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.10382513661
181,09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.10655737705
180,10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.10928961749
179,11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.11202185792
178,12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.11475409836
177,13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.1174863388
176,14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.12021857923
175,15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.12295081967
174,16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.12568306011
173,17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.12841530055
172,18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.13114754098
171,19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.13387978142
170,20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.13661202186
169,21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.1393442623
168,22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.14207650273
167,23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.14480874317
166,24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.14754098361
165,25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.15027322404
164,26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429,2020.15300546448
163,27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.15573770492
162,28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.15846994536
161,29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429,2020.16120218579
160,01/03/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429,2020.16393442623
159,02/03/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429,2020.16666666667
158,04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429,2020.17213114754
157,05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429,2020.17486338798
156,06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429,2020.17759562842
155,09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429,2020.18579234973
154,12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429,2020.19398907104
153,13/03/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429,2020.19672131148
152,14/03/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429,2020.19945355191
151,15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429,2020.20218579235
150,16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429,2020.20491803279
149,17/03/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429,2020.20765027322
148,18/03/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429,2020.21038251366
147,19/03/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429,2020.2131147541
146,20/03/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429,2020.21584699454
145,21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429,2020.21857923497
144,22/03/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429,2020.22131147541
143,23/03/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429,2020.22404371585
142,24/03/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429,2020.22677595628
141,25/03/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429,2020.22950819672
140,26/03/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429,2020.23224043716
139,27/03/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429,2020.2349726776
138,28/03/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429,2020.23770491803
121,03/03/2020,3,3,2020,1,0,Andorra,AD,AND,77006,2020.1693989071
120,14/03/2020,14,3,2020,1,0,Andorra,AD,AND,77006,2020.19945355191
119,16/03/2020,16,3,2020,3,0,Andorra,AD,AND,77006,2020.20491803279
118,17/03/2020,17,3,2020,9,0,Andorra,AD,AND,77006,2020.20765027322
117,18/03/2020,18,3,2020,0,0,Andorra,AD,AND,77006,2020.21038251366
116,19/03/2020,19,3,2020,39,0,Andorra,AD,AND,77006,2020.2131147541
115,20/03/2020,20,3,2020,22,0,Andorra,AD,AND,77006,2020.21584699454
114,21/03/2020,21,3,2020,0,0,Andorra,AD,AND,77006,2020.21857923497
113,22/03/2020,22,3,2020,13,0,Andorra,AD,AND,77006,2020.22131147541
112,23/03/2020,23,3,2020,25,0,Andorra,AD,AND,77006,2020.22404371585
111,24/03/2020,24,3,2020,20,0,Andorra,AD,AND,77006,2020.22677595628
110,25/03/2020,25,3,2020,31,0,Andorra,AD,AND,77006,2020.22950819672
109,26/03/2020,26,3,2020,24,0,Andorra,AD,AND,77006,2020.23224043716
108,27/03/2020,27,3,2020,36,3,Andorra,AD,AND,77006,2020.2349726776
107,28/03/2020,28,3,2020,43,0,Andorra,AD,AND,77006,2020.23770491803
86,22/03/2020,22,3,2020,2,0,Angola,AO,AGO,30809762,2020.22131147541
85,23/03/2020,23,3,2020,0,0,Angola,AO,AGO,30809762,2020.22404371585
84,24/03/2020,24,3,2020,0,0,Angola,AO,AGO,30809762,2020.22677595628
83,25/03/2020,25,3,2020,0,0,Angola,AO,AGO,30809762,2020.22950819672
82,26/03/2020,26,3,2020,0,0,Angola,AO,AGO,30809762,2020.23224043716
81,27/03/2020,27,3,2020,1,0,Angola,AO,AGO,30809762,2020.2349726776
80,28/03/2020,28,3,2020,1,0,Angola,AO,AGO,30809762,2020.23770491803
223,27/03/2020,27,3,2020,2,0,Anguilla,AI,,NA,2020.2349726776
222,28/03/2020,28,3,2020,0,0,Anguilla,AI,,NA,2020.23770491803
137,15/03/2020,15,3,2020,1,0,Antigua_and_Barbuda,AG,ATG,96286,2020.20218579235
136,21/03/2020,21,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286,2020.21857923497
135,22/03/2020,22,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286,2020.22131147541
134,23/03/2020,23,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286,2020.22404371585
133,24/03/2020,24,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286,2020.22677595628
132,25/03/2020,25,3,2020,2,0,Antigua_and_Barbuda,AG,ATG,96286,2020.22950819672
131,26/03/2020,26,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286,2020.23224043716
130,27/03/2020,27,3,2020,4,0,Antigua_and_Barbuda,AG,ATG,96286,2020.2349726776
129,28/03/2020,28,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286,2020.23770491803
238,04/03/2020,4,3,2020,1,0,Argentina,AR,ARG,44494502,2020.17213114754
237,06/03/2020,6,3,2020,1,0,Argentina,AR,ARG,44494502,2020.17759562842
236,07/03/2020,7,3,2020,6,0,Argentina,AR,ARG,44494502,2020.18032786885
235,08/03/2020,8,3,2020,1,1,Argentina,AR,ARG,44494502,2020.18306010929
234,09/03/2020,9,3,2020,3,0,Argentina,AR,ARG,44494502,2020.18579234973
233,11/03/2020,11,3,2020,7,0,Argentina,AR,ARG,44494502,2020.1912568306
232,13/03/2020,13,3,2020,12,0,Argentina,AR,ARG,44494502,2020.19672131148
231,14/03/2020,14,3,2020,3,1,Argentina,AR,ARG,44494502,2020.19945355191
230,15/03/2020,15,3,2020,11,0,Argentina,AR,ARG,44494502,2020.20218579235
229,16/03/2020,16,3,2020,11,0,Argentina,AR,ARG,44494502,2020.20491803279
228,17/03/2020,17,3,2020,9,0,Argentina,AR,ARG,44494502,2020.20765027322
227,18/03/2020,18,3,2020,14,0,Argentina,AR,ARG,44494502,2020.21038251366
226,19/03/2020,19,3,2020,18,0,Argentina,AR,ARG,44494502,2020.2131147541
225,20/03/2020,20,3,2020,31,1,Argentina,AR,ARG,44494502,2020.21584699454
224,21/03/2020,21,3,2020,30,0,Argentina,AR,ARG,44494502,2020.21857923497
128,22/03/2020,22,3,2020,67,1,Argentina,AR,ARG,44494502,2020.22131147541
127,23/03/2020,23,3,2020,41,0,Argentina,AR,ARG,44494502,2020.22404371585
126,24/03/2020,24,3,2020,35,0,Argentina,AR,ARG,44494502,2020.22677595628
125,25/03/2020,25,3,2020,86,2,Argentina,AR,ARG,44494502,2020.22950819672
124,26/03/2020,26,3,2020,115,2,Argentina,AR,ARG,44494502,2020.23224043716
123,27/03/2020,27,3,2020,87,4,Argentina,AR,ARG,44494502,2020.2349726776
122,28/03/2020,28,3,2020,101,5,Argentina,AR,ARG,44494502,2020.23770491803
318,31/12/2019,31,12,2019,0,0,Armenia,AM,ARM,2951776,2019.99726027397
317,01/01/2020,1,1,2020,0,0,Armenia,AM,ARM,2951776,2020
316,02/01/2020,2,1,2020,0,0,Armenia,AM,ARM,2951776,2020.00273224044
315,03/01/2020,3,1,2020,0,0,Armenia,AM,ARM,2951776,2020.00546448087
314,04/01/2020,4,1,2020,0,0,Armenia,AM,ARM,2951776,2020.00819672131
313,05/01/2020,5,1,2020,0,0,Armenia,AM,ARM,2951776,2020.01092896175
312,06/01/2020,6,1,2020,0,0,Armenia,AM,ARM,2951776,2020.01366120219
311,07/01/2020,7,1,2020,0,0,Armenia,AM,ARM,2951776,2020.01639344262
310,08/01/2020,8,1,2020,0,0,Armenia,AM,ARM,2951776,2020.01912568306
309,09/01/2020,9,1,2020,0,0,Armenia,AM,ARM,2951776,2020.0218579235
308,10/01/2020,10,1,2020,0,0,Armenia,AM,ARM,2951776,2020.02459016393
307,11/01/2020,11,1,2020,0,0,Armenia,AM,ARM,2951776,2020.02732240437
306,12/01/2020,12,1,2020,0,0,Armenia,AM,ARM,2951776,2020.03005464481
305,13/01/2020,13,1,2020,0,0,Armenia,AM,ARM,2951776,2020.03278688525
304,14/01/2020,14,1,2020,0,0,Armenia,AM,ARM,2951776,2020.03551912568
303,15/01/2020,15,1,2020,0,0,Armenia,AM,ARM,2951776,2020.03825136612
302,16/01/2020,16,1,2020,0,0,Armenia,AM,ARM,2951776,2020.04098360656
301,17/01/2020,17,1,2020,0,0,Armenia,AM,ARM,2951776,2020.04371584699
300,18/01/2020,18,1,2020,0,0,Armenia,AM,ARM,2951776,2020.04644808743
299,19/01/2020,19,1,2020,0,0,Armenia,AM,ARM,2951776,2020.04918032787
298,20/01/2020,20,1,2020,0,0,Armenia,AM,ARM,2951776,2020.05191256831
297,21/01/2020,21,1,2020,0,0,Armenia,AM,ARM,2951776,2020.05464480874
296,22/01/2020,22,1,2020,0,0,Armenia,AM,ARM,2951776,2020.05737704918
295,23/01/2020,23,1,2020,0,0,Armenia,AM,ARM,2951776,2020.06010928962
294,24/01/2020,24,1,2020,0,0,Armenia,AM,ARM,2951776,2020.06284153005
293,25/01/2020,25,1,2020,0,0,Armenia,AM,ARM,2951776,2020.06557377049
292,26/01/2020,26,1,2020,0,0,Armenia,AM,ARM,2951776,2020.06830601093
291,27/01/2020,27,1,2020,0,0,Armenia,AM,ARM,2951776,2020.07103825137
290,28/01/2020,28,1,2020,0,0,Armenia,AM,ARM,2951776,2020.0737704918
289,29/01/2020,29,1,2020,0,0,Armenia,AM,ARM,2951776,2020.07650273224
288,30/01/2020,30,1,2020,0,0,Armenia,AM,ARM,2951776,2020.07923497268
287,31/01/2020,31,1,2020,0,0,Armenia,AM,ARM,2951776,2020.08196721311
286,01/02/2020,1,2,2020,0,0,Armenia,AM,ARM,2951776,2020.08469945355
285,02/02/2020,2,2,2020,0,0,Armenia,AM,ARM,2951776,2020.08743169399
284,03/02/2020,3,2,2020,0,0,Armenia,AM,ARM,2951776,2020.09016393443
283,04/02/2020,4,2,2020,0,0,Armenia,AM,ARM,2951776,2020.09289617486
282,05/02/2020,5,2,2020,0,0,Armenia,AM,ARM,2951776,2020.0956284153
281,06/02/2020,6,2,2020,0,0,Armenia,AM,ARM,2951776,2020.09836065574
280,07/02/2020,7,2,2020,0,0,Armenia,AM,ARM,2951776,2020.10109289617
279,08/02/2020,8,2,2020,0,0,Armenia,AM,ARM,2951776,2020.10382513661
278,09/02/2020,9,2,2020,0,0,Armenia,AM,ARM,2951776,2020.10655737705
277,10/02/2020,10,2,2020,0,0,Armenia,AM,ARM,2951776,2020.10928961749
276,11/02/2020,11,2,2020,0,0,Armenia,AM,ARM,2951776,2020.11202185792
275,12/02/2020,12,2,2020,0,0,Armenia,AM,ARM,2951776,2020.11475409836
274,13/02/2020,13,2,2020,0,0,Armenia,AM,ARM,2951776,2020.1174863388
273,14/02/2020,14,2,2020,0,0,Armenia,AM,ARM,2951776,2020.12021857923
272,15/02/2020,15,2,2020,0,0,Armenia,AM,ARM,2951776,2020.12295081967
271,16/02/2020,16,2,2020,0,0,Armenia,AM,ARM,2951776,2020.12568306011
270,17/02/2020,17,2,2020,0,0,Armenia,AM,ARM,2951776,2020.12841530055
269,18/02/2020,18,2,2020,0,0,Armenia,AM,ARM,2951776,2020.13114754098
268,19/02/2020,19,2,2020,0,0,Armenia,AM,ARM,2951776,2020.13387978142
267,20/02/2020,20,2,2020,0,0,Armenia,AM,ARM,2951776,2020.13661202186
