,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.535890916523161,0.1928238691949643,0.9079684774780302,1.609949665104622,2.971302293108009,3.519379887879011,4.092320938421576,5.37836781984285,22.17277019744279,1.1181592833161904
mu[2],4.211611881568448,0.12545258684229108,0.7918647951064689,2.647351470634072,3.711188747400195,4.18954160271654,4.693463252265902,5.882654087256508,39.84215576321803,1.0731479087392
mu[3],3.472846705136834,0.1695315620358476,0.8849161483723089,1.5715294105978233,2.9209858673629894,3.4638619129641555,4.023159987198953,5.289568419901978,27.246022671836073,1.0980277298562218
mu[4],3.995021393144839,0.006847010348631405,0.40629745154337465,3.2484315060056876,3.7246665010583326,3.979632472946543,4.25068607491084,4.840478132106176,3521.1637971780983,1.0018732771475731
mu[5],4.258553387385648,0.08248097432009711,0.7701715726372035,2.787382296650729,3.7554201999060304,4.211472228035431,4.727529013737569,5.874382588585214,87.19014586382396,1.0440301639541176
mu[6],3.6942945431862073,0.1256295839803482,0.3934626716464922,3.1041570876217777,3.4437253128444416,3.633444113015361,3.862489376974815,4.742612589445456,9.808966014335718,1.3109216230658016
mu[7],2.9074624361651766,0.1943539224894894,0.9515853886560978,0.9007083336810119,2.3353930345711147,2.8929141582250426,3.4813162137294675,4.8211692333108696,23.972256157076565,1.113343880238227
mu[8],4.846940055193165,0.029068885349450173,0.6030213998111998,3.6833608576280983,4.449013410031736,4.828358846803563,5.234882892318359,6.078408526913819,430.33700301835836,1.0253101163197955
mu[9],3.667981366625936,0.16065159300708298,0.8244288543295412,1.999171035240137,3.1475441862011655,3.643083815443001,4.174722236522991,5.370805172553808,26.335180174820312,1.1042881449324582
mu[10],3.025267359298258,1.1721470198552888,2.412935616913899,-3.401490954296042,3.2698565734084353,3.739833349305308,4.210752991362723,5.202976642789713,4.237671548693255,4.214076468076001
mu[11],3.867059797365932,0.008535416698277466,0.5198612837016959,3.0046596933354834,3.52627127665027,3.8264038559763422,4.1524393168147355,4.996700164724819,3709.586422806955,1.002676014105018
alpha[1],0.09643527859996451,0.00207947167052209,0.12517092274170377,9.557079193997105e-05,0.011733529542351646,0.04944804455788864,0.13619026561894354,0.4314030513065471,3623.2716111373716,1.0016281782278191
alpha[2],0.5661749093983435,0.6932427099940925,1.4640851238904193,5.985748780763928e-05,0.005708354369243672,0.02730192733582564,0.09277306665748683,5.206252174220185,4.460279078100362,3.219416021097475
alpha[3],0.08491989800486081,0.016169599743675555,0.13899872733213395,7.556247336764968e-05,0.0076953865736942625,0.036367034243951823,0.10597799400915234,0.42860796794615147,73.89637055929124,1.0528909329754896
alpha[4],0.04140420896458842,0.003853578926502358,0.06235079954798934,4.567605723615928e-05,0.004190404183320209,0.01879037109584323,0.05418446057930956,0.219063728092176,261.7914974257735,1.0297031828658854
alpha[5],0.6313962271369694,0.007679391770683697,0.43960597437828836,0.007827310451305738,0.3105248244580523,0.5959286276477068,0.8780456378202204,1.5632191685282792,3276.97798569497,1.0093287797317008
alpha[6],0.06252416897305209,0.0032372686732219996,0.09016293203043825,6.11201556786641e-05,0.00641179762028311,0.028594713592751952,0.08278772508688423,0.3043771732390788,775.7085227717305,1.018137446144172
kappa,1.394862785072548,0.044787504637162086,0.2763554855540322,0.9010763278153782,1.1919773759587309,1.3774947259477566,1.5795534624784433,1.9619086104762318,38.073468848260845,1.0729991396988943
y[1],150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
y[2],139.96706044240824,99.10330980246326,287.65655933836206,11.191041306237597,33.386560032506054,58.07021673216241,106.16477068326269,974.6327666395041,8.425045305262332,1.4196160661638895
y[3],125.51140559732026,77.07951266929341,260.7529756498488,9.717821986417997,31.136851344483997,57.1677568060379,108.55250309644782,825.2874877686791,11.444073172834502,1.2847934677990207
y[4],28.562265850336665,3.1566751207992616,26.922480261693053,6.982004887646633,15.151189853076206,22.578843249196552,34.00070548305281,79.03149386804637,72.73950807247643,1.0576179939411936
y[5],89.67760979918977,85.80292347905441,226.7667320105084,3.490761941596752,11.44058361632529,21.273866230865213,41.68110804171624,815.3346387813882,6.984808632998394,1.580545913530262
y[6],38.570265378713465,3.157857435132553,21.29797326169551,7.8014724803654545,23.99774499842951,34.877319922099204,48.257255249129635,90.5439251475056,45.487442131571946,1.065383080422164
y[7],111.4298366790908,69.05310334534686,246.43878429528732,7.253009368624884,26.474929061208503,49.67774627893424,91.96843949254989,747.4837127494819,12.73654730876317,1.2448010009325272
y[8],62.259601587010266,17.697567399156966,83.27169392523967,11.08231666362341,26.135102323748207,41.79050674193097,67.63268771163771,259.72234797380247,22.139491844343258,1.1436262611208932
y[9],78.58019351219417,61.37950720279421,184.56293734907334,4.012535192838625,13.617263463818633,26.90793281282772,54.79639640522586,590.2896055200165,9.041535509689211,1.3797180264137603
y[10],2070.31693656075,2702.3673225901866,5503.063673859896,4.422755014413712,13.836175068677292,24.45994078568804,47.111548137771514,18560.46666855312,4.146868982832537,5.4834270934216445
y[11],66.07598029229133,19.47332788543598,93.03122098325461,11.972989011981056,29.136778168538626,45.224036834875086,70.54965435879012,274.046496469491,22.823229056082557,1.1382155662302953
phi,4.766896637117203,0.6201161988818027,1.4888097641509328,1.3618998362194012,4.307885696712272,4.98740249028526,5.6904279997186595,7.143573260893044,5.764110054385793,1.802854652257313
tau,126.7548310960393,103.26170468384277,211.33683176223948,19.375407652757815,34.870247501491654,48.27215182458858,70.21036927520584,762.2655994150953,4.188628123439567,4.807363573758462
convolution,8781930.650656883,603031.6918656047,36794950.90272925,0.003322554822117887,116126.81126389423,852021.5671633558,4232580.436051481,67001797.920405164,3723.026967573857,1.0057591581975671
"prediction[1,1]",150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
"prediction[2,1]",150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
"prediction[3,1]",150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
"prediction[4,1]",150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
"prediction[5,1]",150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
"prediction[6,1]",150.87818514457416,76.72254981686133,254.3063407079165,15.982942859567867,46.74804657833192,79.49412041216345,144.39248870121276,900.8907020684007,10.9867267092854,1.2999194820536477
"prediction[7,1]",203.9289606880399,65.83740114405586,187.7565308647403,44.764898745297614,101.13594143054175,148.71401421817689,228.39516048838823,794.3859220659283,8.13288714811363,1.4301628993671722
"prediction[8,1]",244.6478007086854,77.49330584709996,220.56512219387412,55.514582775148426,123.29225373774727,180.50299486314358,274.7403297361577,937.7153461458327,8.101124402249706,1.43194619319198
"prediction[9,1]",292.1424454948723,87.00864710894058,246.40871943737395,72.5070472672124,154.78286032292024,221.99480634389337,329.8592165223322,1055.207202660571,8.020239026007529,1.4364020958431543
"prediction[10,1]",350.2483751475231,95.26678797249522,269.15651024977353,98.06321835515635,197.83674863761564,275.52040336054245,396.74315757259296,1169.6155170971415,7.982275853575969,1.4387221310172198
