,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],2.4171230150960854,0.007759401146659578,0.4928760183197131,1.5037614012100753,2.0896617341720933,2.395048245603858,2.725209848746611,3.458066449633111,4034.7716942938778,0.9986915095018167
mu[2],1.5479948886377328,0.001095842529426,0.06386938656672296,1.4331943578630715,1.5027100404852476,1.5457261830770557,1.58852422220697,1.679173461207439,3396.9502572166866,1.0007412950980816
mu[3],2.5459744860448845,0.005041951294255865,0.3168567132185682,1.9731586451591139,2.328095468646601,2.530387272550617,2.739981830303429,3.2284288288600558,3949.3764647298167,1.0008475505043049
mu[4],1.688688903772742,0.0018318425336481647,0.1101948987055648,1.5096097938529067,1.6103697231107783,1.6756643107680933,1.7546459686272295,1.9325948101536166,3618.6510244858237,1.0001047088026631
mu[5],1.650709998274264,0.0012114568568844521,0.07483788907502041,1.5161718744063757,1.5991012056979685,1.6460440781635515,1.699028820541293,1.805262447777479,3816.1650804178553,0.9996694706528036
mu[6],2.211330872750953,0.008887150689208513,0.565747165914059,1.027854309558546,1.8572438335778139,2.2215133128685896,2.57896727620425,3.3313870434528576,4052.468856761226,1.0012253919599037
mu[7],2.3809877833446964,0.0052389813807187735,0.32380676057675356,1.7921677461920085,2.164565509740556,2.3617368290341836,2.5884640623407185,3.0685325972417674,3820.1297496304055,1.0014364060222007
mu[8],2.501851869635251,0.00749433955706461,0.4682369011689217,1.604166798793432,2.193538084144139,2.486027942083666,2.7978251735469097,3.4681998193396844,3903.5930939025675,1.0002170042237521
mu[9],2.8388536265560416,0.007435788587048443,0.4571136956158308,2.047950783310974,2.518154765709219,2.797171154072693,3.122608363716391,3.81835358889113,3779.1523476544453,0.9999617557781753
mu[10],2.6603016054725157,0.006140608586675411,0.35903952017344537,2.0198041383315646,2.411249173248475,2.632419498304542,2.885224326541591,3.427409574414007,3418.7054047123074,1.0022362928569901
alpha[1],0.3673270898112157,0.003842510234332537,0.23197253651351135,0.0033307240605898883,0.17371754976977422,0.3689647138585587,0.5346809765431543,0.8117522258202823,3644.5429854349213,0.9995953531175955
alpha[2],0.052796453620622956,0.001108124893029356,0.06851126134988078,5.1941567750279823e-05,0.006104631493900371,0.026402735960825607,0.07369018702527116,0.24153541325747402,3822.4912908985957,1.0004699852611991
alpha[3],0.08244816068823314,0.0016522035209534755,0.10616877484733124,0.00011810482426850014,0.008964957632409998,0.04038305938512529,0.11601992657513915,0.38141423615501935,4129.2057636419295,0.9996512777228042
alpha[4],0.1459252901674351,0.002389904286075214,0.14564938432792274,0.0002700041787386579,0.024889267320478234,0.098839422493057,0.22711578654067266,0.5085375349203141,3714.123068404307,1.0030211331542933
alpha[5],0.1464431603388614,0.003090919345211012,0.19606950307598553,0.00018399061801955906,0.015907653470899966,0.07418461214061184,0.2016138630660918,0.6674723115148112,4023.8775002975426,0.999190215951913
alpha[6],0.15006229395573925,0.0028987182530339274,0.17402718746503168,0.00022402169665526573,0.02053318812124944,0.08626508383241989,0.2193003892806321,0.604903813100321,3604.3104609685915,0.9997397368869037
kappa,0.6042562799383686,0.002501553575698442,0.15373827155714329,0.37285616045427805,0.4923315297662685,0.5815910994976515,0.6940617635033328,0.9737847676019007,3776.9772679663715,0.9998682481466257
y[1],35.727603593303414,0.3621261353284615,22.872047662115655,9.730408749767737,20.58636091861196,30.410872799958717,44.22743551173472,94.94691091018827,3989.2417458456216,0.9987988475508047
