,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],3.375127357447986,0.013429412791475201,0.7944642129513327,2.043826549183011,2.826039856716097,3.2906634338826795,3.8477913388536047,5.171664836780835,3499.7307329754753,1.0003872556693096
mu[2],3.5449802736319715,0.005005690682380777,0.27688871764132383,3.0380692366087803,3.352948475524959,3.5262292002185402,3.724611504258282,4.1242252999895275,3059.725743900007,1.0018745078461209
mu[3],4.278090677337847,0.012338655124140585,0.7232303173354634,3.06643437712406,3.7770560638757313,4.211383417153578,4.690565553921283,5.882489797381817,3435.7186737715724,1.0012484553316114
mu[4],4.713235251623239,0.010730871957155235,0.5415425219576426,3.7599316211260336,4.333057744169679,4.687877399452191,5.058518225643814,5.8532012689834,2546.8015214682587,1.0025814290716537
mu[5],3.676145405307779,0.007336823721621573,0.4367087466532539,2.932278551580232,3.364594318400222,3.6348592339087125,3.951006833581548,4.611624583531932,3542.9711128865697,1.0004993132469036
mu[6],3.9437639576438333,0.00627663763654701,0.3731450569430118,3.2726191807849982,3.6844994326159677,3.91963041001795,4.182774083896685,4.727378567688911,3534.2825991881837,1.0014209330810637
mu[7],2.8253180791409345,0.013924467706199479,0.8595913610681664,1.3229958466772433,2.2295436070643673,2.7450557199321173,3.3462718110883323,4.756647934251744,3810.8940939406975,0.9992978505433848
mu[8],4.145370298674166,0.013160290496881806,0.7337882471088663,2.9181475913385437,3.62854992418935,4.087451376816859,4.5856846120981025,5.7223927281051505,3108.927190568704,0.9994330611028867
mu[9],3.779220597103979,0.013571040523035005,0.7997176345862159,2.4028612210788816,3.2112100458538215,3.722096989244071,4.26113086902435,5.576729429119906,3472.538351791016,1.0001307801636439
mu[10],3.868256844918077,0.01425367412222186,0.8056399237619819,2.557271326126183,3.304055580232676,3.7738575115915447,4.33983770247252,5.695785977658494,3194.6869561290773,1.0003409344335454
mu[11],3.796670227624393,0.010913053851505284,0.6382532681976502,2.6923645450200278,3.3356834330164506,3.7420281548149257,4.187552359185595,5.215425290344818,3420.5307424277735,1.0006061478539385
alpha[1],0.08782244868836932,0.0017803156507020439,0.10873729732688768,0.00010489348199318109,0.011472582957383442,0.04491747732499451,0.12468716719838317,0.3945290435585773,3730.4656837617836,1.0003330792617373
alpha[2],0.04393985024494251,0.0009936020757286947,0.058181337528198374,5.288539238697189e-05,0.004623488672281245,0.021684821146814373,0.061470751707312574,0.21058631143587797,3428.8021164867923,1.000238132148609
alpha[3],0.06686078167636056,0.001470083356609462,0.0893785783223557,7.865797290196859e-05,0.007351473920472071,0.03177920716481314,0.09117401961245021,0.32542936221376106,3696.4340589306803,0.9994174644718709
alpha[4],0.038219171341689964,0.0008266844224407197,0.051808609241970394,4.011523925615912e-05,0.004071599114767616,0.01802317304547765,0.051271222166611494,0.1840900184892489,3927.5738529015234,0.9997459679677455
alpha[5],0.5114434411252867,0.0062426031506946185,0.3857053209549954,0.0021780810503106095,0.2020481232345773,0.4569800885430892,0.7454564522505606,1.3852461133082614,3817.5066819818217,1.0011079705348682
alpha[6],0.055528426154160544,0.0011735522259497292,0.07327864327691277,5.815761527503961e-05,0.006022197059926071,0.027196091308219934,0.07553311400753027,0.26788298731877386,3898.970926975575,1.0002056237293537
kappa,1.3091662122577854,0.0047952423080683355,0.26984442796205826,0.8270933429731251,1.121303504222718,1.2920248928819196,1.4750071090376329,1.89055128779362,3166.6917796800976,0.9998820253890199
y[1],39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
y[2],22.534130711589864,0.19703830358433225,11.140676405315597,7.571097741526916,14.564915775829643,20.34006193289484,27.910372417861108,51.29643053226452,3196.846620838078,1.0007427212143483
y[3],13.387992369618853,0.19257899285992475,11.971222654930726,1.680182067662901,5.632414112991798,9.96545305896488,17.202305176620705,46.37667029744481,3864.1964265117226,1.0015055697442588
y[4],28.983224983916035,0.34925212273287987,19.69096328662459,6.514706709118782,15.510801196776315,24.081343069942196,36.54739771986684,80.89189700846342,3178.7459223430637,1.0011913053234431
y[5],31.320842623870497,0.33319053033172275,19.940000734358613,7.545691120130758,17.380926517568373,26.928510514493247,39.40453318908566,79.92082159660453,3581.5007005497164,1.0005670435692107
y[6],13.849276261007587,0.13931147776091146,8.146134102803776,3.801354538573287,8.261841395235281,11.974879793385973,17.60668260777942,34.5125229009093,3419.237849550173,1.000778597046042
y[7],33.94630459225791,0.502473076959817,31.03318951715014,3.620361869934536,13.44580534421734,24.760799965593893,43.76504702013281,116.7858755166281,3814.408783152223,0.9995292961851068
y[8],38.42447308641455,0.5182512227476999,30.480072781960416,5.789999374298372,17.75045316857583,29.430511665335715,49.954074675579086,119.50142520035523,3459.006105123344,0.9993984883236253
y[9],47.71302958706589,0.602099301316756,37.251746885967286,7.532780364886705,23.085857993241028,37.64692066892525,61.26474500447995,144.20245888703153,3827.868767922114,0.9998416047248251
y[10],16.11602897561514,0.2577672736794771,15.503550622992403,1.4033449596035648,5.960731787711115,11.645665961825802,20.72695992087645,58.280045991956435,3617.4854000589617,0.9999271419034548
y[11],16.261529193410674,0.22539109963189263,13.82711369207216,2.3204263893872694,7.170631144113534,12.414789532327479,21.036011461407607,52.6739024910934,3763.479396794328,0.9997824025946486
phi,5.1147050196455455,0.01419297941599665,0.8805970507749564,3.5612163128356507,4.495412035139549,5.050757283205453,5.673869207025186,6.9967594534516415,3849.5264448080916,1.0000733501856376
tau,29.86105020087625,0.2547916406825403,13.99051141637085,10.69395641936573,19.776468960349696,27.106971083136177,36.93720813484057,64.91442043451478,3015.066044125671,1.000562701962062
convolution,785962.6846699943,44032.76026787424,2743675.0438204054,960.0208853395732,25488.346475434977,119763.47115604037,488177.1376371661,6122793.371403143,3882.5184158133975,1.0011474989445235
"prediction[1,1]",39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
"prediction[2,1]",39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
"prediction[3,1]",39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
"prediction[4,1]",39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
"prediction[5,1]",39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
"prediction[6,1]",39.5055471162732,0.5665411932339445,34.25692584448488,5.2305670450637365,16.85860165546083,30.055667549122276,50.722047600099785,131.84278706099974,3656.232369909741,1.0004824937113617
"prediction[7,1]",59.64561044967639,0.5866206738650408,34.9262907476993,13.903874105027466,34.46565251753933,53.02290224951101,76.43719393634802,146.79810080220435,3544.787463698209,1.0001362797851243
"prediction[8,1]",71.62828931010185,0.6923745996467351,41.197992274962075,17.176835830258057,41.90397416558424,63.87404269085562,91.66962152640082,174.6728467514105,3540.542806977034,1.0001238367721659
"prediction[9,1]",85.79569746237306,0.7851776935471615,46.63255709285926,22.557018572179388,52.34265804270375,77.29083199467831,109.13966674873797,200.68190621722397,3527.301273275602,1.0000813618876874
"prediction[10,1]",103.23473478279352,0.8752949250932902,51.85256901817619,30.026198223105165,65.7632880415612,94.83621133061351,130.02200425604457,228.12808762707309,3509.3908186899957,1.0000138370474174
"prediction[11,1]",124.69083752271513,0.9701115422663351,57.31343581074338,40.47386483374723,83.10245400679796,116.20203086425238,156.1951483787359,260.6238911661359,3490.3545501286826,0.9999262741921149
"prediction[12,1]",151.02902437996423,1.073425449371189,63.25210474170652,54.31593917266561,104.7864967915923,142.79617873858115,187.5632520435325,298.6757332191077,3472.2116325671145,0.9998203918020603
"prediction[13,1]",183.36568887534335,1.1874247496696224,69.81464166719914,72.80420600371222,132.40542645197422,174.87143120138276,223.43799815596543,344.2127559222869,3456.8523726303256,0.9996952914804709
"prediction[14,1]",223.12833113843053,1.3145234147689773,77.18070744420147,98.41751914396015,167.55616444476905,215.50516681023657,268.41253217666656,398.0252593875353,3447.3141136284803,0.9995496365151779
"prediction[15,1]",272.12107188257056,1.4590086486474008,85.68064162672542,130.43196337691575,211.08012064052105,263.7434838402389,321.93612252778684,463.6958295376948,3448.654503172208,0.9993851070844123
"prediction[16,1]",332.6160013536526,1.6291340968778192,95.94368937995131,170.95899651474352,264.7508498762668,323.60410234703403,388.9249993525176,544.4678489941416,3468.3200189337417,0.9992114866774127
"prediction[17,1]",407.47611950162985,1.8243278199771586,109.11144523508693,225.5684630908047,330.5561787280768,395.13513886765804,471.0392892790351,650.3948380290077,3577.1310797926735,0.9990525327053258
"prediction[18,1]",500.31561631298655,2.0824850907474737,127.11932855261028,290.5720064351574,409.2218530690631,484.32361620939844,573.0717200376826,782.2293889523232,3726.141806128176,0.9989473174575474
"prediction[19,1]",615.7066433698114,2.4735056980621426,152.9945475313266,367.1406529510249,505.4869955651244,597.4879048603736,704.5035659776652,953.6244714931654,3825.833598487949,0.9989374350726006
"prediction[20,1]",759.4457634761205,3.076053763725882,191.08942757991824,449.2252416916357,620.9114860503139,735.7891693538916,871.8596426330234,1180.8534401541258,3859.095048206394,0.9990400933687016
"prediction[21,1]",806.9824362280359,3.263730553780113,203.56292015224963,473.33318851660835,662.177063587146,782.9253842575406,929.5087229659241,1253.379842161378,3890.1715213132074,0.9995359317603093
"prediction[22,1]",858.51406187391,3.551179039721989,224.01200779094262,484.731444087411,700.9174823814953,835.8585697433189,997.076710881965,1358.4298355172418,3979.2155021300878,0.9993091915166703
"prediction[23,1]",1036.5761273973667,4.609057885919861,290.1827764895042,552.2662914046282,831.8837426605651,1007.4087183221386,1214.0838779003193,1690.2752396532214,3963.865761390549,0.9994385132576253
"prediction[24,1]",1230.8305349313237,5.983045291320785,376.0317560608102,607.2763203883019,961.11521413843,1192.5162120866078,1452.8969081902019,2084.7137200227626,3950.067024985983,0.9995386818808355
"prediction[25,1]",1451.688825379476,7.787424331588167,488.86149438942954,662.0179785819103,1101.3344485102696,1396.4138720777532,1732.6097279262908,2561.5116628096866,3940.7962617369208,0.9996075061828963
"prediction[26,1]",1710.7551672398918,10.164999122329474,637.6016991993471,711.7647692536773,1249.525437629329,1630.4408851482633,2058.116070790124,3234.8851321798816,3934.4519029179514,0.9996503229097293
"prediction[27,1]",1230.720270948753,8.690061124968864,541.790115860108,405.5702409167909,836.7969740959908,1147.8850126632897,1556.2199581194045,2478.491382859925,3887.01747373817,1.0000782885472606
"prediction[28,1]",1426.3560274486063,10.709163636496388,667.7516233770659,445.34072902276273,943.8047569295998,1313.379121710554,1821.4878514879133,2999.178129940681,3887.933210426159,1.0000488052768686
"prediction[29,1]",1606.3421490761898,13.027255286994775,812.0387606677425,460.7750938860479,1018.6665233636272,1456.5719202007588,2061.3165375579074,3553.5779143318464,3885.506785850334,1.0000044183083447
"prediction[30,1]",1778.8290619011261,15.732447062753991,980.2343311794248,458.6502797401257,1072.7050777868117,1574.888016512198,2298.4432460221133,4158.253132676626,3882.1048393743154,0.9999454019449162
"prediction[31,1]",1957.387275361496,18.965423325916387,1181.1760250251828,447.2120090684265,1112.7347645717412,1694.5120522780794,2542.5165668677623,4914.66257898903,3878.860532970151,0.9998742185941012
"prediction[32,1]",2152.3787950464744,22.861865167669972,1423.3556109908018,426.50729479891606,1147.7047544711518,1811.6475400154861,2800.868511633256,5851.663370328066,3876.176259306812,0.99979435833251
"prediction[33,1]",2371.0677676019855,27.562549834370817,1715.5659708912917,405.6692396007394,1179.3390904427533,1936.7683722590264,3091.1787376051625,6901.1560879693625,3874.1467041912606,0.9997092175185527
"prediction[34,1]",2619.1098490046716,33.2327672076902,2068.1300495147775,386.1815325284772,1213.4859236190177,2072.123697154642,3405.8049350899846,8177.166971603881,3872.7786816128746,0.9996217692986671
"prediction[35,1]",2901.763895592115,40.07689641290713,2493.8248127091524,360.7153928949266,1248.0250977915446,2214.7668788960555,3776.2770846026824,9696.007001853519,3872.074630445961,0.9995345544359957
"prediction[36,1]",3224.642742481421,48.349868044462355,3008.608316263829,339.5626055976286,1279.1505910821313,2351.400386259301,4163.041325458931,11468.323687513606,3872.047862115487,0.9994496888720417
"prediction[37,1]",3594.1562561619767,58.369007921031205,3632.3704975881033,323.2206046173266,1314.332201427513,2504.424220015457,4605.1959215553925,13488.748951119005,3872.716052292425,0.9993688617581269
"prediction[38,1]",4017.8071809701614,70.5285362746511,4389.852018100547,303.385701311219,1344.7941471251402,2666.605113788217,5086.945445560597,15913.959501601386,3874.0927979966855,0.9992933518925031
"prediction[39,1]",4504.443465044169,85.31808637208815,5311.818150540719,282.9102422291261,1378.2875563722507,2853.3771072895197,5621.874123815747,18762.222829069266,3876.1822215276497,0.9992240678453478
"prediction[40,1]",5064.523825249754,103.34634622990681,6436.558161410119,266.3777580211216,1415.951594977782,3059.201342295309,6241.721856689457,22188.87206112608,3878.9764420134793,0.9991616010981854
"prediction[41,1]",5710.426888430795,125.37107211120178,7811.78975055597,248.93732029224643,1452.136208693903,3280.255134909874,6912.345198633819,26392.766895059,3882.4548374956453,0.999106280779368
"prediction[42,1]",6456.822780562883,152.46030043812488,9497.070544212558,233.4740887402526,1487.6620381852106,3494.5588331280233,7651.424394706905,31158.55673562824,3880.304303243823,0.9990582235078979
"prediction[43,1]",7321.1229980222915,185.985522872648,11566.849301898754,220.19022675451924,1526.840372921678,3733.100386068433,8457.742783034262,36955.42100058714,3867.8700526935986,0.999017376249909
"prediction[44,1]",8324.02559352553,227.27895092046757,14114.327971482082,207.29368949409644,1565.4091295136411,3980.1568870190076,9380.240169016208,43881.76356073728,3856.576738842904,0.998983552427831
