,new_confirmed_cases,date,country,new_iva,new_deaths,deaths,iva,confirmed,Days,DeathsDays,LogCases,LogDeaths,Ratio,LinCases,LinDeaths
1,0,2020-02-04,Blekinge,0.0,0.0,0.0,0.0,0.0,-85,-85,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
23,0,2020-02-05,Blekinge,0.0,0.0,0.0,0.0,0.0,-84,-84,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
45,0,2020-02-06,Blekinge,0.0,0.0,0.0,0.0,0.0,-83,-83,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
67,0,2020-02-07,Blekinge,0.0,0.0,0.0,0.0,0.0,-82,-82,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
89,0,2020-02-08,Blekinge,0.0,0.0,0.0,0.0,0.0,-81,-81,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
111,0,2020-02-09,Blekinge,0.0,0.0,0.0,0.0,0.0,-80,-80,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
133,0,2020-02-10,Blekinge,0.0,0.0,0.0,0.0,0.0,-79,-79,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
155,0,2020-02-11,Blekinge,0.0,0.0,0.0,0.0,0.0,-78,-78,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
177,0,2020-02-12,Blekinge,0.0,0.0,0.0,0.0,0.0,-77,-77,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
199,0,2020-02-13,Blekinge,0.0,0.0,0.0,0.0,0.0,-76,-76,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
221,0,2020-02-14,Blekinge,0.0,0.0,0.0,0.0,0.0,-75,-75,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
243,0,2020-02-15,Blekinge,0.0,0.0,0.0,0.0,0.0,-74,-74,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
265,0,2020-02-16,Blekinge,0.0,0.0,0.0,0.0,0.0,-73,-73,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
287,0,2020-02-17,Blekinge,0.0,0.0,0.0,0.0,0.0,-72,-72,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
309,0,2020-02-18,Blekinge,0.0,0.0,0.0,0.0,0.0,-71,-71,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
331,0,2020-02-19,Blekinge,0.0,0.0,0.0,0.0,0.0,-70,-70,-19.931568569324174,-19.931568569324174,0.0,1.0,1.0
