,date,new_confirmed_cases,new_deaths,country
0,2020-01-22,0.0,0.0,Afghanistan-Afghanistan
1,2020-01-23,0.0,0.0,Afghanistan-Afghanistan
2,2020-01-24,0.0,0.0,Afghanistan-Afghanistan
3,2020-01-25,0.0,0.0,Afghanistan-Afghanistan
4,2020-01-26,0.0,0.0,Afghanistan-Afghanistan
5,2020-01-27,0.0,0.0,Afghanistan-Afghanistan
6,2020-01-28,0.0,0.0,Afghanistan-Afghanistan
7,2020-01-29,0.0,0.0,Afghanistan-Afghanistan
8,2020-01-30,0.0,0.0,Afghanistan-Afghanistan
9,2020-01-31,0.0,0.0,Afghanistan-Afghanistan
10,2020-02-01,0.0,0.0,Afghanistan-Afghanistan
11,2020-02-02,0.0,0.0,Afghanistan-Afghanistan
12,2020-02-03,0.0,0.0,Afghanistan-Afghanistan
13,2020-02-04,0.0,0.0,Afghanistan-Afghanistan
14,2020-02-05,0.0,0.0,Afghanistan-Afghanistan
15,2020-02-06,0.0,0.0,Afghanistan-Afghanistan
16,2020-02-07,0.0,0.0,Afghanistan-Afghanistan
17,2020-02-08,0.0,0.0,Afghanistan-Afghanistan
18,2020-02-09,0.0,0.0,Afghanistan-Afghanistan
19,2020-02-10,0.0,0.0,Afghanistan-Afghanistan
20,2020-02-11,0.0,0.0,Afghanistan-Afghanistan
21,2020-02-12,0.0,0.0,Afghanistan-Afghanistan
22,2020-02-13,0.0,0.0,Afghanistan-Afghanistan
23,2020-02-14,0.0,0.0,Afghanistan-Afghanistan
24,2020-02-15,0.0,0.0,Afghanistan-Afghanistan
25,2020-02-16,0.0,0.0,Afghanistan-Afghanistan
26,2020-02-17,0.0,0.0,Afghanistan-Afghanistan
27,2020-02-18,0.0,0.0,Afghanistan-Afghanistan
28,2020-02-19,0.0,0.0,Afghanistan-Afghanistan
29,2020-02-20,0.0,0.0,Afghanistan-Afghanistan
30,2020-02-21,0.0,0.0,Afghanistan-Afghanistan
31,2020-02-22,0.0,0.0,Afghanistan-Afghanistan
32,2020-02-23,0.0,0.0,Afghanistan-Afghanistan
33,2020-02-24,13.0,0.0,Afghanistan-Afghanistan
34,2020-02-25,-12.0,0.0,Afghanistan-Afghanistan
35,2020-02-26,0.0,0.0,Afghanistan-Afghanistan
36,2020-02-27,0.0,0.0,Afghanistan-Afghanistan
37,2020-02-28,0.0,0.0,Afghanistan-Afghanistan
38,2020-02-29,0.0,0.0,Afghanistan-Afghanistan
39,2020-03-01,0.0,0.0,Afghanistan-Afghanistan
40,2020-03-02,0.0,0.0,Afghanistan-Afghanistan
41,2020-03-03,0.0,0.0,Afghanistan-Afghanistan
42,2020-03-04,0.0,0.0,Afghanistan-Afghanistan
43,2020-03-05,0.0,0.0,Afghanistan-Afghanistan
44,2020-03-06,0.0,0.0,Afghanistan-Afghanistan
45,2020-03-07,0.0,0.0,Afghanistan-Afghanistan
46,2020-03-08,7.0,0.0,Afghanistan-Afghanistan
47,2020-03-09,-4.0,0.0,Afghanistan-Afghanistan
48,2020-03-10,1.0,0.0,Afghanistan-Afghanistan
49,2020-03-11,16.0,0.0,Afghanistan-Afghanistan
50,2020-03-12,-14.0,0.0,Afghanistan-Afghanistan
51,2020-03-13,0.0,0.0,Afghanistan-Afghanistan
52,2020-03-14,4.0,0.0,Afghanistan-Afghanistan
53,2020-03-15,5.0,0.0,Afghanistan-Afghanistan
54,2020-03-16,5.0,0.0,Afghanistan-Afghanistan
55,2020-03-17,45.0,0.0,Afghanistan-Afghanistan
56,2020-03-18,-44.0,0.0,Afghanistan-Afghanistan
57,2020-03-19,0.0,0.0,Afghanistan-Afghanistan
58,2020-03-20,26.0,0.0,Afghanistan-Afghanistan
59,2020-03-21,-24.0,0.0,Afghanistan-Afghanistan
60,2020-03-22,16.0,1.0,Afghanistan-Afghanistan
61,2020-03-23,0.0,0.0,Afghanistan-Afghanistan
62,2020-03-24,34.0,0.0,Afghanistan-Afghanistan
63,2020-03-25,10.0,1.0,Afghanistan-Afghanistan
64,2020-03-26,10.0,2.0,Afghanistan-Afghanistan
65,2020-03-27,16.0,0.0,Afghanistan-Afghanistan
66,2020-03-28,0.0,0.0,Afghanistan-Afghanistan
67,2020-03-29,10.0,0.0,Afghanistan-Afghanistan
68,2020-03-30,50.0,0.0,Afghanistan-Afghanistan
69,2020-03-31,4.0,0.0,Afghanistan-Afghanistan
70,2020-04-01,63.0,0.0,Afghanistan-Afghanistan
71,2020-04-02,36.0,2.0,Afghanistan-Afghanistan
72,2020-04-03,8.0,0.0,Afghanistan-Afghanistan
73,2020-04-04,18.0,1.0,Afghanistan-Afghanistan
74,2020-04-05,50.0,0.0,Afghanistan-Afghanistan
75,2020-04-06,18.0,4.0,Afghanistan-Afghanistan
76,2020-04-07,56.0,3.0,Afghanistan-Afghanistan
77,2020-04-08,21.0,0.0,Afghanistan-Afghanistan
78,2020-04-09,40.0,1.0,Afghanistan-Afghanistan
79,2020-04-10,37.0,0.0,Afghanistan-Afghanistan
80,2020-04-11,34.0,3.0,Afghanistan-Afghanistan
81,2020-04-12,52.0,0.0,Afghanistan-Afghanistan
82,2020-04-13,58.0,3.0,Afghanistan-Afghanistan
83,2020-04-14,49.0,2.0,Afghanistan-Afghanistan
84,2020-04-15,70.0,2.0,Afghanistan-Afghanistan
85,2020-04-16,56.0,5.0,Afghanistan-Afghanistan
86,2020-04-17,66.0,0.0,Afghanistan-Afghanistan
87,2020-04-18,27.0,0.0,Afghanistan-Afghanistan
88,2020-04-19,63.0,3.0,Afghanistan-Afghanistan
89,2020-04-20,30.0,3.0,Afghanistan-Afghanistan
90,2020-04-21,66.0,0.0,Afghanistan-Afghanistan
91,2020-04-22,84.0,4.0,Afghanistan-Afghanistan
92,2020-04-23,0.0,0.0,Afghanistan-Afghanistan
93,2020-04-24,103.0,2.0,Afghanistan-Afghanistan
94,2020-04-25,72.0,1.0,Afghanistan-Afghanistan
95,2020-04-26,112.0,4.0,Afghanistan-Afghanistan
96,2020-04-27,68.0,3.0,Afghanistan-Afghanistan
97,2020-04-28,172.0,7.0,Afghanistan-Afghanistan
98,2020-04-29,125.0,1.0,Afghanistan-Afghanistan
99,2020-04-30,111.0,2.0,Afghanistan-Afghanistan
100,2020-05-01,232.0,4.0,Afghanistan-Afghanistan
101,2020-05-02,164.0,4.0,Afghanistan-Afghanistan
102,2020-05-03,134.0,4.0,Afghanistan-Afghanistan
103,2020-05-04,235.0,13.0,Afghanistan-Afghanistan
104,2020-05-05,190.0,5.0,Afghanistan-Afghanistan
105,2020-05-06,330.0,5.0,Afghanistan-Afghanistan
106,2020-01-22,0.0,0.0,Albania-Albania
107,2020-01-23,0.0,0.0,Albania-Albania
108,2020-01-24,0.0,0.0,Albania-Albania
109,2020-01-25,0.0,0.0,Albania-Albania
110,2020-01-26,0.0,0.0,Albania-Albania
111,2020-01-27,0.0,0.0,Albania-Albania
112,2020-01-28,0.0,0.0,Albania-Albania
113,2020-01-29,0.0,0.0,Albania-Albania
114,2020-01-30,0.0,0.0,Albania-Albania
115,2020-01-31,0.0,0.0,Albania-Albania
116,2020-02-01,0.0,0.0,Albania-Albania
117,2020-02-02,0.0,0.0,Albania-Albania
118,2020-02-03,0.0,0.0,Albania-Albania
119,2020-02-04,0.0,0.0,Albania-Albania
120,2020-02-05,0.0,0.0,Albania-Albania
121,2020-02-06,0.0,0.0,Albania-Albania
122,2020-02-07,0.0,0.0,Albania-Albania
123,2020-02-08,0.0,0.0,Albania-Albania
124,2020-02-09,0.0,0.0,Albania-Albania
125,2020-02-10,0.0,0.0,Albania-Albania
126,2020-02-11,0.0,0.0,Albania-Albania
127,2020-02-12,0.0,0.0,Albania-Albania
128,2020-02-13,0.0,0.0,Albania-Albania
129,2020-02-14,0.0,0.0,Albania-Albania
130,2020-02-15,0.0,0.0,Albania-Albania
131,2020-02-16,0.0,0.0,Albania-Albania
132,2020-02-17,0.0,0.0,Albania-Albania
133,2020-02-18,0.0,0.0,Albania-Albania
134,2020-02-19,0.0,0.0,Albania-Albania
135,2020-02-20,0.0,0.0,Albania-Albania
136,2020-02-21,0.0,0.0,Albania-Albania
137,2020-02-22,0.0,0.0,Albania-Albania
138,2020-02-23,0.0,0.0,Albania-Albania
139,2020-02-24,0.0,0.0,Albania-Albania
140,2020-02-25,0.0,0.0,Albania-Albania
141,2020-02-26,0.0,0.0,Albania-Albania
142,2020-02-27,0.0,0.0,Albania-Albania
143,2020-02-28,0.0,0.0,Albania-Albania
144,2020-02-29,0.0,0.0,Albania-Albania
145,2020-03-01,0.0,0.0,Albania-Albania
146,2020-03-02,0.0,0.0,Albania-Albania
147,2020-03-03,0.0,0.0,Albania-Albania
148,2020-03-04,0.0,0.0,Albania-Albania
149,2020-03-05,0.0,0.0,Albania-Albania
150,2020-03-06,0.0,0.0,Albania-Albania
151,2020-03-07,0.0,0.0,Albania-Albania
152,2020-03-08,0.0,0.0,Albania-Albania
153,2020-03-09,2.0,0.0,Albania-Albania
154,2020-03-10,8.0,0.0,Albania-Albania
