"Region, subregion, country or area *",0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Afghanistan,11088.732,9821.559,7035.871,4534.646,2963.459,1840.198,1057.496,480.455,105.925
Africa,381402.490,297692.210,224709.051,169886.397,116573.518,76436.014,46583.911,21390.005,5924.517
African Group,381085.458,297389.798,224441.270,169644.536,116345.211,76241.552,46454.815,21329.313,5894.638
African Union,381198.052,297488.167,224546.255,169753.251,116428.005,76293.503,46483.189,21336.925,5896.574
African Union: Central Africa,50720.352,37205.247,25933.295,18278.461,11819.384,7551.738,4493.182,2079.291,538.688
African Union: Eastern Africa,112738.875,92426.453,69256.657,47711.467,31707.594,19928.644,11792.770,5500.894,1500.318
African Union: Northern Africa,46182.247,35145.980,32681.772,31885.966,23976.750,17686.493,11814.518,5603.722,2055.451
African Union: Southern Africa,49795.675,40438.906,31266.210,24993.232,16666.972,10571.202,6428.545,3013.777,827.669
African Union: Western Africa,121760.903,92271.581,65408.321,46884.125,32257.305,20555.426,11954.174,5139.241,974.448
African, Caribbean and Pacific (ACP) Group of States,343018.234,270199.394,199447.358,144803.600,98160.721,63814.499,37976.376,17548.426,4711.298
Albania,333.832,361.778,472.679,390.773,323.019,386.091,330.242,194.668,84.718
Algeria,9677.490,6731.747,6573.715,7275.235,5448.619,3800.056,2530.542,1237.834,575.805
Andean Community,18501.872,18668.161,19298.568,17273.399,14124.034,11332.590,7751.053,4197.235,2023.907
Angola,10899.168,7881.779,5306.037,3699.729,2412.735,1464.602,785.897,331.729,84.592
Antigua and Barbuda,14.583,13.867,14.894,14.094,13.860,12.832,8.043,4.101,1.654
Argentina,7446.468,7136.711,6997.584,6441.412,5727.744,4424.940,3528.742,2300.637,1191.539
Armenia,418.859,368.930,408.924,503.953,353.088,362.653,328.402,126.743,91.682
Aruba,11.757,14.010,14.980,11.244,14.271,17.205,13.754,6.958,2.587
Asia,726754.901,719074.498,718651.698,719723.433,617757.912,532549.792,359182.223,175891.713,71468.616
Asia-Pacific Economic Cooperation (APEC),384728.558,378029.224,405353.503,450790.061,421268.760,405516.914,297080.316,155870.830,73611.316
Asia-Pacific Group,723816.763,716810.679,715936.099,716660.074,615321.597,530124.269,357231.190,174927.335,70854.224
Association of Southeast Asian Nations (ASEAN),112696.315,109933.665,108491.777,100772.397,89090.321,71943.141,46095.039,20095.157,8183.600
Australia,3308.974,3130.480,3375.454,3718.344,3306.060,3107.735,2651.187,1846.376,1055.271
Australia/New Zealand,3924.258,3755.433,4046.689,4337.410,3897.934,3736.426,3173.499,2208.208,1242.257
Austria,874.182,876.208,1115.377,1243.416,1178.265,1407.000,1033.320,790.437,488.195
Azerbaijan,1686.038,1335.458,1608.985,1766.692,1280.803,1281.076,804.308,242.762,133.053
BRIC,453228.771,465222.611,474761.671,503412.018,435609.260,393636.971,274212.947,128020.972,49716.807
BRICS,464814.376,475631.785,484903.160,513567.343,442652.535,398548.503,277377.388,129497.027,50138.601
Bahamas,53.654,63.795,66.568,55.457,56.496,49.222,29.430,13.645,4.981
Bahrain,218.135,181.855,306.670,507.733,256.721,140.231,66.572,17.818,5.848
Bangladesh,28972.610,30674.422,29765.033,26511.633,20651.270,15005.703,7296.837,4095.812,1716.063
Barbados,30.618,36.512,37.578,37.124,39.067,39.936,33.573,20.154,12.809
Belarus,1143.840,928.883,1077.802,1530.348,1285.401,1345.791,1243.251,525.562,368.443
Belgium,1302.703,1312.251,1386.085,1503.997,1518.439,1598.741,1369.876,939.413,658.111
Belize,78.106,77.850,75.819,59.715,43.958,31.810,17.814,8.311,4.238
Belt-Road Initiative (BRI),707649.497,611359.475,544143.613,490209.486,391140.681,301232.278,206364.756,103408.617,47553.392
Belt-Road Initiative: Africa,335827.697,262515.299,200151.064,152722.403,105093.812,69230.961,42301.969,19382.172,5434.199
Belt-Road Initiative: Asia,290955.974,270387.327,262107.170,242188.693,198013.134,151984.941,94896.433,44126.981,17865.072
Belt-Road Initiative: Europe,44442.918,42027.891,45439.881,62166.174,60047.962,56218.676,52801.528,30912.064,19838.281
Belt-Road Initiative: Latin America and the Caribbean,33296.563,33569.344,33954.027,31065.159,26276.005,22390.327,15377.874,8450.076,4190.580
Belt-Road Initiative: Pacific,3126.345,2859.614,2491.471,2067.057,1709.768,1407.373,986.952,537.324,225.260
Benin,3596.950,2779.486,2061.768,1436.443,981.832,650.681,379.183,184.835,52.020
Bhutan,125.828,135.993,153.314,138.681,89.604,59.014,36.908,22.234,10.036
Black Sea Economic Cooperation (BSEC),44338.714,41020.985,42178.421,54547.504,48158.720,42928.348,38502.889,19811.077,11870.528
Bolivarian Alliance for the Americas (ALBA),10062.109,10031.629,8862.311,8342.544,7210.264,6451.331,4233.410,2362.953,1133.797
Bolivia (Plurinational State of),2364.587,2297.696,2039.534,1639.099,1238.343,883.592,615.318,391.941,202.919
Bosnia and Herzegovina,295.212,346.275,403.272,458.385,447.738,500.182,463.795,242.498,123.458
Botswana,539.005,472.033,402.509,365.289,261.015,146.583,104.251,48.558,12.382
Brazil,29076.910,31160.446,34104.643,34476.762,29462.006,24421.202,16896.862,8801.551,4159.027
Brunei Darussalam,66.355,65.084,69.696,76.568,68.003,50.221,28.513,9.569,3.474
Bulgaria,649.382,685.881,689.917,957.591,1061.985,944.704,922.592,710.368,326.025
Burkina Faso,6552.188,5029.543,3508.065,2428.033,1587.133,977.490,538.877,234.237,47.712
Burundi,3872.447,2725.292,2029.581,1539.547,747.632,491.974,339.631,112.129,32.548
Cabo Verde,105.076,99.937,97.845,98.286,64.906,47.912,26.373,9.056,6.597
Cambodia,3530.587,3100.069,3117.605,2889.268,1429.087,1387.484,816.776,352.445,95.650
Cameroon,7846.026,6176.459,4551.787,3399.842,2141.843,1288.477,733.299,332.734,75.397
Canada,3970.921,3971.320,5096.616,5278.661,4846.667,5182.433,4712.744,3018.676,1664.119
Caribbean,6919.236,6956.741,6688.381,6171.780,5249.580,5071.313,3385.873,2042.891,1046.579
Caribbean Community and Common Market (CARICOM),3651.817,3513.773,3269.911,2843.849,2040.782,1629.344,1096.763,563.938,239.646
Central African Republic,1435.609,1264.608,839.990,501.335,339.529,232.596,139.061,61.506,15.530
Central America,32244.164,32215.986,31014.514,26324.890,22036.581,16634.374,10882.385,5572.408,2744.884
Central Asia,16021.724,12079.588,12261.432,11933.611,8483.576,6925.986,4464.695,1456.933,711.381
Central European Free Trade Agreement (CEFTA),2596.193,2847.164,3388.629,3791.534,3504.284,3473.331,3311.766,1888.113,945.644
Central and Southern Asia,367984.455,371654.232,350318.907,313060.686,240743.853,180278.909,117825.504,54110.706,18731.279
Chad,5452.549,4038.728,2781.017,1769.646,1082.831,654.647,417.349,180.661,48.431
Channel Islands,17.563,17.780,21.769,23.889,24.914,26.178,20.012,13.293,8.461
Chile,2428.079,2493.879,2995.538,2945.404,2578.404,2352.271,1791.787,993.126,537.721
China,170667.620,166604.610,185147.170,228830.425,216111.763,222185.873,151663.905,71494.305,26618.103
China (and dependencies),173453.518,169392.914,189223.485,233630.978,221122.138,227152.612,155892.794,73538.070,27880.370
China, Hong Kong SAR,664.195,552.659,867.629,1122.165,1129.130,1207.906,1048.881,525.084,379.339
China, Macao SAR,68.817,46.834,88.332,129.802,93.402,99.615,78.994,29.881,13.665
China, Taiwan Province of China,2052.886,2188.811,3120.354,3548.586,3787.843,3659.218,3101.014,1488.800,869.263
Colombia,7414.155,8119.876,8847.061,7810.299,6450.787,5543.980,3771.358,1979.761,945.607
Commonwealth of Independent States (CIS),42906.637,34771.699,36434.252,48185.993,38747.397,35240.924,31370.170,14070.137,8865.629
Commonwealth of Nations,514485.517,489675.692,438356.205,378554.265,289264.637,216412.225,143014.611,69962.808,25659.590
Commonwealth: Africa,168274.900,133297.765,98174.153,74419.840,50178.163,31568.628,18300.435,8008.542,1771.441
Commonwealth: Asia,326335.092,337376.243,319172.447,282408.354,219464.705,164957.844,108342.461,50300.860,17295.167
Commonwealth: Caribbean and Americas,5016.568,5035.710,6225.804,6307.349,5707.513,5956.474,5248.114,3303.344,1796.938
Commonwealth: Europe,8219.551,7825.057,8805.721,9548.766,8830.325,9374.215,7464.858,5954.482,3511.929
