Days,Date,Change
46 , 2020-02-16 , 19.66586046511629
47 , 2020-02-17 , 11.320558139534892
48 , 2020-02-18 , 8.541632135306564
49 , 2020-02-19 , 2.9082790697674503
50 , 2020-02-20 , 1.8031627906976826
51 , 2020-02-21 , 1.2405581395348915
52 , 2020-02-22 , 1.8835348837209378
53 , 2020-02-23 , 8.656710359408041
54 , 2020-02-24 , 13.185860465116287
55 , 2020-02-25 , 13.125581395348846
56 , 2020-02-26 , 8.574511627906988
57 , 2020-02-27 , 7.971720930232569
58 , 2020-02-28 , 7.248372093023265
59 , 2020-02-29 , 5.480186046511636
60 , 2020-03-01 , 4.65134883720931
61 , 2020-03-02 , 5.143627906976754
62 , 2020-03-03 , 4.616186046511637
63 , 2020-03-04 , 3.0690232558139616
64 , 2020-03-05 , 2.5533023255814036
65 , 2020-03-06 , 1.9438139534883803
66 , 2020-03-07 , 1.0999069767441938
67 , 2020-03-08 , 3.315162790697682
68 , 2020-03-09 , 6.21960930232559
69 , 2020-03-10 , 6.936930232558148
70 , 2020-03-11 , 10.382883720930241
71 , 2020-03-12 , 16.602790697674426
72 , 2020-03-13 , 29.61693023255815
73 , 2020-03-14 , 19.284741185296337
74 , 2020-03-15 , 3.0562367864693503
75 , 2020-03-16 , -22.177860465116282
76 , 2020-03-17 , -23.242790697674423
77 , 2020-03-18 , -27.499162790697675
78 , 2020-03-19 , -30.921674418604653
79 , 2020-03-20 , -29.461581395348844
80 , 2020-03-21 , -34.27386046511628
81 , 2020-03-22 , -47.073116279069765
82 , 2020-03-23 , -51.49358139534885
83 , 2020-03-24 , -47.04297674418605
84 , 2020-03-25 , -33.500279069767444
85 , 2020-03-26 , -34.06288372093024
86 , 2020-03-27 , -32.187534883720936
87 , 2020-03-28 , -31.784334883720938
88 , 2020-03-29 , -43.04975275397796
