Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 36.89655749128917
48 , 2020-02-18 , 36.70689895470381
49 , 2020-02-19 , 27.73459126239612
50 , 2020-02-20 , 22.939094076655035
51 , 2020-02-21 , 8.955540069686393
52 , 2020-02-22 , 25.329235283330256
53 , 2020-02-23 , 28.336167247386737
54 , 2020-02-24 , 21.759999999999984
55 , 2020-02-25 , 33.2298257839721
56 , 2020-02-26 , 34.377142857142836
57 , 2020-02-27 , 24.317114162738246
58 , 2020-02-28 , 4.022411149825765
59 , 2020-02-29 , 2.7941463414634007
60 , 2020-03-01 , 5.097142857142844
61 , 2020-03-02 , 9.41714285714284
62 , 2020-03-03 , 8.06845993031357
63 , 2020-03-04 , 5.547342413683859
64 , 2020-03-05 , 6.695191637630643
65 , 2020-03-06 , 1.9361672473867415
66 , 2020-03-07 , -2.013455812480218
67 , 2020-03-08 , 14.21714285714284
68 , 2020-03-09 , 20.531289198606256
69 , 2020-03-10 , 16.012675591417555
70 , 2020-03-11 , 6.794703832752603
71 , 2020-03-12 , 13.029686411149811
72 , 2020-03-13 , 0.0793867595818662
73 , 2020-03-14 , -8.787735191637646
74 , 2020-03-15 , -16.971149825783986
75 , 2020-03-16 , -24.925739626227447
76 , 2020-03-17 , -35.09587778075584
77 , 2020-03-18 , -36.34675958188155
78 , 2020-03-19 , -30.90285714285715
79 , 2020-03-20 , -32.84961672473868
80 , 2020-03-21 , -50.74675958188154
81 , 2020-03-22 , -59.05826603812257
82 , 2020-03-23 , -64.29881533101046
83 , 2020-03-24 , -53.02188153310105
84 , 2020-03-25 , -52.11651567944252
85 , 2020-03-26 , -54.961393728223
86 , 2020-03-27 , -51.23144250871081
87 , 2020-03-28 , -39.20167247386761
88 , 2020-03-29 , -32.24289466630931
