Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 9.319846903270719
48 , 2020-02-18 , 8.053082811412681
49 , 2020-02-19 , 4.817926235212259
50 , 2020-02-20 , 3.0588656924147593
51 , 2020-02-21 , 0.8135755045233196
52 , 2020-02-22 , 1.4217258176757213
53 , 2020-02-23 , 3.3874460681976433
54 , 2020-02-24 , 3.97642310368825
55 , 2020-02-25 , 6.515267919276276
56 , 2020-02-26 , 4.150109023428448
57 , 2020-02-27 , 0.37683136163304415
58 , 2020-02-28 , -2.0450549756436915
59 , 2020-02-29 , -1.0538900487125857
60 , 2020-03-01 , -0.9255810716770959
61 , 2020-03-02 , -1.0796102992345074
62 , 2020-03-03 , -1.5124704244954699
63 , 2020-03-04 , -1.737084203201107
64 , 2020-03-05 , -1.117522616562273
65 , 2020-03-06 , -1.0758691718858642
66 , 2020-03-07 , -0.7549505915100838
67 , 2020-03-08 , 3.0433263743911
68 , 2020-03-09 , 5.183913709116221
69 , 2020-03-10 , 2.150560890744616
70 , 2020-03-11 , -5.398858733472501
71 , 2020-03-12 , -8.98142658315935
72 , 2020-03-13 , -14.124829505915093
73 , 2020-03-14 , -26.684728601252612
74 , 2020-03-15 , -41.34711760612387
75 , 2020-03-16 , -59.22418232428671
76 , 2020-03-17 , -72.35019717003016
77 , 2020-03-18 , -78.44812804453724
78 , 2020-03-19 , -81.18515518441197
79 , 2020-03-20 , -82.26680862908839
80 , 2020-03-21 , -85.79802366040362
81 , 2020-03-22 , -89.82382741823244
82 , 2020-03-23 , -88.99532359081421
83 , 2020-03-24 , -85.03050800278358
84 , 2020-03-25 , -82.69557689631178
85 , 2020-03-26 , -83.32291718858735
86 , 2020-03-27 , -82.82002783576897
87 , 2020-03-28 , -82.58803409881699
88 , 2020-03-29 , -85.64794015309673
