Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 7.191387793780425
48 , 2020-02-18 , 5.471733566742138
49 , 2020-02-19 , 0.8903833739628624
50 , 2020-02-20 , 0.09066832560528226
51 , 2020-02-21 , -0.5101898279092381
52 , 2020-02-22 , 3.244991341208464
53 , 2020-02-23 , 7.13188822418819
54 , 2020-02-24 , 6.579669996600136
55 , 2020-02-25 , 3.417715091760036
56 , 2020-02-26 , 2.2616734543297525
57 , 2020-02-27 , 1.0534321945009018
58 , 2020-02-28 , -1.0353026960163874
59 , 2020-02-29 , -1.4671120723953166
60 , 2020-03-01 , -1.0576150346134732
61 , 2020-03-02 , -0.39782119631658475
62 , 2020-03-03 , -1.1358853017556354
63 , 2020-03-04 , -2.009753980367627
64 , 2020-03-05 , -1.3212506275273
65 , 2020-03-06 , -1.1263020377456847
66 , 2020-03-07 , -2.9747553330777463
67 , 2020-03-08 , -1.284467560275179
68 , 2020-03-09 , 0.07205040472796531
69 , 2020-03-10 , -2.4807922396394817
70 , 2020-03-11 , -4.830733573975891
71 , 2020-03-12 , -8.112057059772432
72 , 2020-03-13 , -13.950542603135116
73 , 2020-03-14 , -23.818228798060844
74 , 2020-03-15 , -32.252889374353494
75 , 2020-03-16 , -45.300808245942044
76 , 2020-03-17 , -55.78616497276497
77 , 2020-03-18 , -64.07334669164722
78 , 2020-03-19 , -66.18733139951247
79 , 2020-03-20 , -67.32132319644678
80 , 2020-03-21 , -71.39529372617386
81 , 2020-03-22 , -74.15920428816344
82 , 2020-03-23 , -74.71356138916818
83 , 2020-03-24 , -72.60064611801131
84 , 2020-03-25 , -71.86779030822983
85 , 2020-03-26 , -72.57828516865476
86 , 2020-03-27 , -72.31243292510905
87 , 2020-03-28 , -70.08674069197995
88 , 2020-03-29 , -69.45840773721257
