Days,Date,Change
46,2020-02-16,-0.845057
47,2020-02-17,-2.735926
48,2020-02-18,-3.580561
49,2020-02-19,-5.074313
50,2020-02-20,-5.591000
51,2020-02-21,-5.885347
52,2020-02-22,-3.390933
53,2020-02-23,-0.906851
54,2020-02-24,1.355627
55,2020-02-25,0.777475
56,2020-02-26,-0.462713
57,2020-02-27,-0.553085
58,2020-02-28,0.531384
59,2020-02-29,0.510529
60,2020-03-01,0.482722
61,2020-03-02,0.941246
62,2020-03-03,1.228005
63,2020-03-04,0.717343
64,2020-03-05,0.378446
65,2020-03-06,0.350639
66,2020-03-07,-0.094271
67,2020-03-08,-0.330630
68,2020-03-09,0.058667
69,2020-03-10,0.030860
70,2020-03-11,-1.039706
71,2020-03-12,-3.152161
72,2020-03-13,-5.820754
73,2020-03-14,-7.725278
74,2020-03-15,-14.436982
75,2020-03-16,-27.952395
76,2020-03-17,-40.305940
77,2020-03-18,-54.134078
78,2020-03-19,-58.594768
79,2020-03-20,-59.738326
80,2020-03-21,-58.995651
81,2020-03-22,-55.594906
82,2020-03-23,-57.519568
83,2020-03-24,-60.061830
84,2020-03-25,-61.876329
85,2020-03-26,-62.747264
86,2020-03-27,-62.530685
87,2020-03-28,-57.146299
88,2020-03-29,-53.779347
