Days,Date,Change
46 , 2020-02-16 , -28.59589325500595
47 , 2020-02-17 , -11.281227330465866
48 , 2020-02-18 , -5.204429473080923
49 , 2020-02-19 , 13.669306014256536
50 , 2020-02-20 , 10.411218970519744
51 , 2020-02-21 , 8.409517355016646
52 , 2020-02-22 , 6.604880696349883
53 , 2020-02-23 , -9.034278239065818
54 , 2020-02-24 , -11.536843904170494
55 , 2020-02-25 , 3.267042160690609
56 , 2020-02-26 , 12.082739835942249
57 , 2020-02-27 , -1.8545590693291432
58 , 2020-02-28 , -7.537161464891809
59 , 2020-02-29 , -4.780693106513792
60 , 2020-03-01 , -4.191054339649682
61 , 2020-03-02 , -6.998977827130427
62 , 2020-03-03 , -2.6718870938854535
63 , 2020-03-04 , 1.8331798270146857
64 , 2020-03-05 , -2.258037926711331
65 , 2020-03-06 , -4.957208516453998
66 , 2020-03-07 , 10.707484765932097
67 , 2020-03-08 , 7.023693376795502
68 , 2020-03-09 , -2.4321123329870677
69 , 2020-03-10 , -2.959638252351942
70 , 2020-03-11 , -1.6463751835799012
71 , 2020-03-12 , -1.0135874198517054
72 , 2020-03-13 , -1.3724913135365568
73 , 2020-03-14 , -1.9844332843786943
74 , 2020-03-15 , 6.3547679452402726
75 , 2020-03-16 , 10.685957373643298
76 , 2020-03-17 , 17.098813769387835
77 , 2020-03-18 , 16.30495167818892
78 , 2020-03-19 , -3.9893085179187175
79 , 2020-03-20 , -27.726375123250687
80 , 2020-03-21 , -39.91297311315686
81 , 2020-03-22 , -33.22983029564911
82 , 2020-03-23 , -23.72507074542393
83 , 2020-03-24 , -15.652244582154236
84 , 2020-03-25 , -15.160611240462796
85 , 2020-03-26 , -21.00542493820969
86 , 2020-03-27 , -26.656281290969662
87 , 2020-03-28 , -35.37725595157074
88 , 2020-03-29 , -47.393585270623646
