Days,Date,Change
46,2020-02-16,-0.320432
47,2020-02-17,-0.883554
48,2020-02-18,-1.589203
49,2020-02-19,-2.016781
50,2020-02-20,-1.474601
51,2020-02-21,-1.415554
52,2020-02-22,-1.360144
53,2020-02-23,-0.748446
54,2020-02-24,0.417794
55,2020-02-25,1.520770
56,2020-02-26,1.957511
57,2020-02-27,2.298089
58,2020-02-28,3.204554
59,2020-02-29,1.709690
60,2020-03-01,-0.911013
61,2020-03-02,-1.338590
62,2020-03-03,-0.727939
63,2020-03-04,-1.368724
64,2020-03-05,-1.378032
65,2020-03-06,-0.561271
66,2020-03-07,-0.849814
67,2020-03-08,-1.419917
68,2020-03-09,-1.013282
69,2020-03-10,-0.610137
70,2020-03-11,-0.457955
71,2020-03-12,0.198246
72,2020-03-13,1.895119
73,2020-03-14,5.139474
74,2020-03-15,7.465971
75,2020-03-16,8.023152
76,2020-03-17,10.923292
77,2020-03-18,14.855379
78,2020-03-19,18.528330
79,2020-03-20,24.125547
80,2020-03-21,24.864022
81,2020-03-22,20.086786
82,2020-03-23,17.610243
83,2020-03-24,20.665394
84,2020-03-25,24.550632
85,2020-03-26,24.918623
86,2020-03-27,26.555884
87,2020-03-28,25.343192
88,2020-03-29,19.923387
