Days,Date,Change
46 , 2020-02-16 , -8.204462446375318
47 , 2020-02-17 , -5.169991942684199
48 , 2020-02-18 , -2.156945362688117
49 , 2020-02-19 , 1.8494161712506068
50 , 2020-02-20 , -0.044054789747630704
51 , 2020-02-21 , -2.037533328978046
52 , 2020-02-22 , -3.014429128285549
53 , 2020-02-23 , -4.77638378955164
54 , 2020-02-24 , -3.2357901613641045
55 , 2020-02-25 , 0.7437573223579399
56 , 2020-02-26 , 4.10317196925152
57 , 2020-02-27 , 0.139829707541192
58 , 2020-02-28 , -2.3736430826855015
59 , 2020-02-29 , -3.1670306831297412
60 , 2020-03-01 , -3.3573875133381392
61 , 2020-03-02 , -2.549951438339768
62 , 2020-03-03 , -2.28683521700313
63 , 2020-03-04 , -0.7854044990309627
64 , 2020-03-05 , -1.6657755710895021
65 , 2020-03-06 , -3.1959304022125172
66 , 2020-03-07 , -0.9060290498900433
67 , 2020-03-08 , 0.6932392587269293
68 , 2020-03-09 , -0.12413109470614359
69 , 2020-03-10 , -3.1048661832277396
70 , 2020-03-11 , -4.154738790531588
71 , 2020-03-12 , -5.050931120837982
72 , 2020-03-13 , -10.484529866509893
73 , 2020-03-14 , -38.45705418990324
74 , 2020-03-15 , -46.991495829794665
75 , 2020-03-16 , -52.382232094248835
76 , 2020-03-17 , -44.04901018974059
77 , 2020-03-18 , -46.06949151804188
78 , 2020-03-19 , -58.46097776616366
79 , 2020-03-20 , -72.50762309183165
80 , 2020-03-21 , -78.65896718277044
81 , 2020-03-22 , -81.72481261296576
82 , 2020-03-23 , -79.7076858082359
83 , 2020-03-24 , -75.56894666927987
84 , 2020-03-25 , -74.79862198122866
85 , 2020-03-26 , -75.71089479758717
86 , 2020-03-27 , -77.45071056814966
87 , 2020-03-28 , -79.01228631780668
88 , 2020-03-29 , -81.56910868665754
