Days,Date,Change
46,2020-02-16,-1.928858
47,2020-02-17,0.917260
48,2020-02-18,2.582145
49,2020-02-19,3.819183
50,2020-02-20,3.233218
51,2020-02-21,4.070311
52,2020-02-22,3.412595
53,2020-02-23,-0.272111
54,2020-02-24,-5.207474
55,2020-02-25,-9.462699
56,2020-02-26,-10.090519
57,2020-02-27,-13.229619
58,2020-02-28,-13.688028
59,2020-02-29,-8.266851
60,2020-03-01,-2.447059
61,2020-03-02,0.981038
62,2020-03-03,0.489412
63,2020-03-04,0.024360
64,2020-03-05,-1.071834
65,2020-03-06,-0.792803
66,2020-03-07,2.758865
67,2020-03-08,2.233356
68,2020-03-09,-0.324429
69,2020-03-10,-3.212401
70,2020-03-11,-4.440138
71,2020-03-12,-6.811903
72,2020-03-13,-13.269481
73,2020-03-14,-21.356401
74,2020-03-15,-29.712388
75,2020-03-16,-38.133149
76,2020-03-17,-44.202076
77,2020-03-18,-50.998478
78,2020-03-19,-58.450104
79,2020-03-20,-66.402491
80,2020-03-21,-69.803183
81,2020-03-22,-68.012734
82,2020-03-23,-66.998920
83,2020-03-24,-68.728913
84,2020-03-25,-69.175363
85,2020-03-26,-70.012457
86,2020-03-27,-71.296000
87,2020-03-28,-70.268235
88,2020-03-29,-71.570381
