Days,Date,Change
46,2020-02-16,-1.967539
47,2020-02-17,-0.669260
48,2020-02-18,1.857686
49,2020-02-19,4.077453
50,2020-02-20,3.784613
51,2020-02-21,2.220284
52,2020-02-22,0.058939
53,2020-02-23,-2.652430
54,2020-02-24,-12.498018
55,2020-02-25,-17.694868
56,2020-02-26,-22.456275
57,2020-02-27,-21.838914
58,2020-02-28,-21.991220
59,2020-02-29,-15.118849
60,2020-03-01,-10.939359
61,2020-03-02,-1.592007
62,2020-03-03,1.464859
63,2020-03-04,2.567331
64,2020-03-05,1.881956
65,2020-03-06,1.201115
66,2020-03-07,0.851277
67,2020-03-08,0.209501
68,2020-03-09,-0.181494
69,2020-03-10,0.309604
70,2020-03-11,0.798958
71,2020-03-12,-0.052093
72,2020-03-13,-4.298725
73,2020-03-14,-13.873680
74,2020-03-15,-23.947504
75,2020-03-16,-31.893070
76,2020-03-17,-38.031411
77,2020-03-18,-46.800610
78,2020-03-19,-53.877920
79,2020-03-20,-59.917106
80,2020-03-21,-58.768661
81,2020-03-22,-54.018267
82,2020-03-23,-54.490381
83,2020-03-24,-60.827161
84,2020-03-25,-65.726033
85,2020-03-26,-65.949260
86,2020-03-27,-66.160395
87,2020-03-28,-61.024252
88,2020-03-29,-55.888661
