Days,Date,Change
46,2020-02-16,10.103383
47,2020-02-17,1.735170
48,2020-02-18,-0.069209
49,2020-02-19,-1.938592
50,2020-02-20,-2.959730
51,2020-02-21,-1.956775
52,2020-02-22,-1.269112
53,2020-02-23,5.784980
54,2020-02-24,8.674587
55,2020-02-25,7.164153
56,2020-02-26,2.563933
57,2020-02-27,0.871427
58,2020-02-28,2.114883
59,2020-02-29,3.949617
60,2020-03-01,4.890104
61,2020-03-02,2.670967
62,2020-03-03,1.166699
63,2020-03-04,0.678097
64,2020-03-05,-1.463035
65,2020-03-06,-2.755081
66,2020-03-07,-0.872955
67,2020-03-08,2.996039
68,2020-03-09,1.508840
69,2020-03-10,-1.530090
70,2020-03-11,-1.126061
71,2020-03-12,3.046644
72,2020-03-13,12.543240
73,2020-03-14,16.668289
74,2020-03-15,10.445350
75,2020-03-16,11.759533
76,2020-03-17,12.599797
77,2020-03-18,4.947861
78,2020-03-19,-6.690057
79,2020-03-20,-8.558622
80,2020-03-21,-16.467087
81,2020-03-22,-31.298260
82,2020-03-23,-36.809165
83,2020-03-24,-31.506353
84,2020-03-25,-20.138505
85,2020-03-26,-19.172293
86,2020-03-27,-17.324682
87,2020-03-28,-20.251421
88,2020-03-29,-34.263392
