Days,Date,Change
46,2020-02-16,-1.028889
47,2020-02-17,-0.188889
48,2020-02-18,0.231111
49,2020-02-19,0.231111
50,2020-02-20,-0.048889
51,2020-02-21,-0.188889
52,2020-02-22,-1.280889
53,2020-02-23,-1.784889
54,2020-02-24,-1.238889
55,2020-02-25,-0.398889
56,2020-02-26,0.735111
57,2020-02-27,1.407111
58,2020-02-28,1.281111
59,2020-02-29,0.903111
60,2020-03-01,0.903111
61,2020-03-02,0.931111
62,2020-03-03,1.211111
63,2020-03-04,0.966111
64,2020-03-05,1.071111
65,2020-03-06,1.701111
66,2020-03-07,1.911111
67,2020-03-08,0.903111
68,2020-03-09,0.623111
69,2020-03-10,2.051111
70,2020-03-11,2.401111
71,2020-03-12,2.401111
72,2020-03-13,3.217778
73,2020-03-14,5.131111
74,2020-03-15,5.131111
75,2020-03-16,5.877778
76,2020-03-17,10.151111
77,2020-03-18,14.044444
78,2020-03-19,18.501111
79,2020-03-20,21.231111
80,2020-03-21,20.717778
81,2020-03-22,17.311111
82,2020-03-23,17.777778
83,2020-03-24,21.277778
84,2020-03-25,22.257778
85,2020-03-26,22.799111
86,2020-03-27,23.891111
87,2020-03-28,21.191111
88,2020-03-29,16.471111
