Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,0.926667
48,2020-02-18,0.226667
49,2020-02-19,-2.480000
50,2020-02-20,-2.813333
51,2020-02-21,-1.813333
52,2020-02-22,-1.173333
53,2020-02-23,3.306667
54,2020-02-24,6.554667
55,2020-02-25,5.161667
56,2020-02-26,-1.253333
57,2020-02-27,-5.093333
58,2020-02-28,-5.886667
59,2020-02-29,-5.396667
60,2020-03-01,-3.673333
61,2020-03-02,-3.325833
62,2020-03-03,-4.976667
63,2020-03-04,-4.766667
64,2020-03-05,-7.093333
65,2020-03-06,-9.806667
66,2020-03-07,-7.573333
67,2020-03-08,-2.122222
68,2020-03-09,-1.733333
69,2020-03-10,-7.053333
70,2020-03-11,-10.168333
71,2020-03-12,-10.665333
72,2020-03-13,-13.073333
73,2020-03-14,-19.425833
74,2020-03-15,-23.905833
75,2020-03-16,-24.080833
76,2020-03-17,-36.462667
77,2020-03-18,-48.683333
78,2020-03-19,-63.578333
79,2020-03-20,-67.200833
80,2020-03-21,-72.450833
81,2020-03-22,-78.908333
82,2020-03-23,-77.893333
83,2020-03-24,-73.373333
84,2020-03-25,-70.403333
85,2020-03-26,-71.243333
86,2020-03-27,-71.453333
87,2020-03-28,-72.125333
88,2020-03-29,-77.573333
