Days,Date,Change
46,2020-02-16,6.205993
47,2020-02-17,1.780627
48,2020-02-18,0.104808
49,2020-02-19,-1.134495
50,2020-02-20,-0.958885
51,2020-02-21,1.007944
52,2020-02-22,6.065505
53,2020-02-23,8.406969
54,2020-02-24,10.195847
55,2020-02-25,5.162369
56,2020-02-26,-0.677909
57,2020-02-27,-4.471080
58,2020-02-28,-4.330592
59,2020-02-29,-4.511220
60,2020-03-01,-3.347178
61,2020-03-02,-2.885575
62,2020-03-03,-5.384251
63,2020-03-04,-4.571429
64,2020-03-05,-6.385226
65,2020-03-06,-9.247666
66,2020-03-07,-8.966690
67,2020-03-08,-3.909129
68,2020-03-09,-2.908153
69,2020-03-10,-8.194007
70,2020-03-11,-9.416251
71,2020-03-12,-9.341324
72,2020-03-13,-12.097561
73,2020-03-14,-19.322648
74,2020-03-15,-21.610592
75,2020-03-16,-24.139373
76,2020-03-17,-31.388544
77,2020-03-18,-39.639861
78,2020-03-19,-48.387568
79,2020-03-20,-52.959443
80,2020-03-21,-57.680836
81,2020-03-22,-63.194983
82,2020-03-23,-64.927666
83,2020-03-24,-61.621519
84,2020-03-25,-59.542300
85,2020-03-26,-60.553812
86,2020-03-27,-60.666202
87,2020-03-28,-58.117352
88,2020-03-29,-60.272836
