Days,Date,Change
46 , 2020-02-16 , -2.9569337979093997
47 , 2020-02-17 , -3.27303135888501
48 , 2020-02-18 , -3.378397212543547
49 , 2020-02-19 , -4.010592334494767
50 , 2020-02-20 , -5.148543554006963
51 , 2020-02-21 , -5.935275261324034
52 , 2020-02-22 , -4.73644599303135
53 , 2020-02-23 , -3.378397212543547
54 , 2020-02-24 , -3.062299651567937
55 , 2020-02-25 , -4.137031358885011
56 , 2020-02-26 , -5.064250871080134
57 , 2020-02-27 , -5.064250871080134
58 , 2020-02-28 , -5.064250871080134
59 , 2020-02-29 , -4.502299651567938
60 , 2020-03-01 , -3.7998606271776936
61 , 2020-03-02 , -3.3081533101045193
62 , 2020-03-03 , -2.4652264808362254
63 , 2020-03-04 , -1.69254355400696
64 , 2020-03-05 , -2.64083623693379
65 , 2020-03-06 , -3.4837630662020835
66 , 2020-03-07 , -3.3783972125435473
67 , 2020-03-08 , -3.3783972125435473
68 , 2020-03-09 , -2.746202090592327
69 , 2020-03-10 , -2.1140069686411067
70 , 2020-03-11 , -2.746202090592327
71 , 2020-03-12 , -3.9403484320557425
72 , 2020-03-13 , -6.012543554006964
73 , 2020-03-14 , -7.002982578397209
74 , 2020-03-15 , -11.020933797909402
75 , 2020-03-16 , -16.303275261324035
76 , 2020-03-17 , -25.40943934114665
77 , 2020-03-18 , -31.82717770034842
78 , 2020-03-19 , -41.31010452961672
79 , 2020-03-20 , -45.52473867595819
80 , 2020-03-21 , -46.086689895470386
81 , 2020-03-22 , -46.142885017421605
82 , 2020-03-23 , -46.87342160278746
83 , 2020-03-24 , -48.47498257839722
84 , 2020-03-25 , -50.020348432055755
85 , 2020-03-26 , -51.21449477351918
86 , 2020-03-27 , -51.144250871080146
87 , 2020-03-28 , -49.083763066202096
88 , 2020-03-29 , -46.769059233449475
