Days,Date,Change
46 , 2020-02-16 , 6.985915492957744
47 , 2020-02-17 , 3.7678873239436563
48 , 2020-02-18 , 1.1650704225352069
49 , 2020-02-19 , -0.25464788732394616
50 , 2020-02-20 , -1.873126760563385
51 , 2020-02-21 , -1.958309859154934
52 , 2020-02-22 , -1.8163380281690185
53 , 2020-02-23 , 1.2664788732394316
54 , 2020-02-24 , 0.7249577464788678
55 , 2020-02-25 , -2.242253521126766
56 , 2020-02-26 , -3.236056338028174
57 , 2020-02-27 , -0.3256338028169043
58 , 2020-02-28 , 3.0580281690140816
59 , 2020-02-29 , 5.606760563380277
60 , 2020-03-01 , 9.0380537772087
61 , 2020-03-02 , 10.450028169014079
62 , 2020-03-03 , 5.94478873239436
63 , 2020-03-04 , 2.6415774647887273
64 , 2020-03-05 , 0.0860845070422485
65 , 2020-03-06 , -1.27684507042254
66 , 2020-03-07 , -1.46140845070423
67 , 2020-03-08 , 7.34873239436619
68 , 2020-03-09 , 8.086197183098585
69 , 2020-03-10 , 2.7267605633802763
70 , 2020-03-11 , -1.418816901408455
71 , 2020-03-12 , 2.045295774647883
72 , 2020-03-13 , 9.856901408450698
73 , 2020-03-14 , 11.670985915492953
74 , 2020-03-15 , 10.717746478873234
75 , 2020-03-16 , 15.463661971830982
76 , 2020-03-17 , 16.07211267605633
77 , 2020-03-18 , 7.269859154929573
78 , 2020-03-19 , 1.3957746478873192
79 , 2020-03-20 , -4.371830985915498
80 , 2020-03-21 , -13.186991037131888
81 , 2020-03-22 , -26.35380281690141
82 , 2020-03-23 , -28.731830985915504
83 , 2020-03-24 , -22.721690140845077
84 , 2020-03-25 , -19.882253521126767
85 , 2020-03-26 , -19.136901408450708
86 , 2020-03-27 , -17.50422535211268
87 , 2020-03-28 , -22.990422535211273
88 , 2020-03-29 , -34.85705505761844
