Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,7.542699
48,2020-02-18,7.751972
49,2020-02-19,7.124152
50,2020-02-20,6.845121
51,2020-02-21,9.468014
52,2020-02-22,16.391972
53,2020-02-23,4.634901
54,2020-02-24,-1.953982
55,2020-02-25,-1.566847
56,2020-02-26,6.884983
57,2020-02-27,0.520415
58,2020-02-28,-0.932872
59,2020-02-29,4.612872
60,2020-03-01,11.811875
61,2020-03-02,14.030173
62,2020-03-03,10.532318
63,2020-03-04,8.359862
64,2020-03-05,5.589481
65,2020-03-06,-0.523838
66,2020-03-07,-0.602864
67,2020-03-08,8.090029
68,2020-03-09,18.779068
69,2020-03-10,10.113772
70,2020-03-11,-0.065003
71,2020-03-12,3.473495
72,2020-03-13,3.817633
73,2020-03-14,10.786436
74,2020-03-15,35.451394
75,2020-03-16,53.601035
76,2020-03-17,47.862699
77,2020-03-18,35.808554
78,2020-03-19,30.170381
79,2020-03-20,9.745576
80,2020-03-21,-11.291903
81,2020-03-22,-20.177972
82,2020-03-23,-12.928040
83,2020-03-24,-1.009606
84,2020-03-25,2.924734
85,2020-03-26,6.346851
86,2020-03-27,9.426159
87,2020-03-28,21.593910
88,2020-03-29,-1.835363
