Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 2.09333333333331
48 , 2020-02-18 , 1.5706666666666451
49 , 2020-02-19 , 0.7866666666666475
50 , 2020-02-20 , 1.1016666666666453
51 , 2020-02-21 , 1.0386666666666458
52 , 2020-02-22 , -0.36833333333335005
53 , 2020-02-23 , -1.9853333333333496
54 , 2020-02-24 , -1.4533333333333498
55 , 2020-02-25 , -0.893333333333348
56 , 2020-02-26 , -2.468333333333348
57 , 2020-02-27 , -4.568333333333349
58 , 2020-02-28 , -3.8566666666666833
59 , 2020-02-29 , -2.2758333333333507
60 , 2020-03-01 , 0.9441666666666482
61 , 2020-03-02 , 2.7291666666666483
62 , 2020-03-03 , 1.066666666666651
63 , 2020-03-04 , -1.0613333333333486
64 , 2020-03-05 , -2.2933333333333534
65 , 2020-03-06 , -4.645333333333357
66 , 2020-03-07 , -3.0866666666666873
67 , 2020-03-08 , 2.6533333333333147
68 , 2020-03-09 , 3.306666666666645
69 , 2020-03-10 , -0.6973333333333541
70 , 2020-03-11 , -6.09333333333335
71 , 2020-03-12 , -5.8933333333333495
72 , 2020-03-13 , -7.865333333333351
73 , 2020-03-14 , -13.750000000000016
74 , 2020-03-15 , -15.803333333333349
75 , 2020-03-16 , -13.073333333333348
76 , 2020-03-17 , -15.07533333333335
77 , 2020-03-18 , -25.523333333333348
78 , 2020-03-19 , -34.977948717948735
79 , 2020-03-20 , -44.783333333333346
80 , 2020-03-21 , -58.34000000000002
81 , 2020-03-22 , -65.38666666666668
82 , 2020-03-23 , -66.66533333333334
83 , 2020-03-24 , -63.52000000000001
84 , 2020-03-25 , -59.693333333333335
85 , 2020-03-26 , -60.19733333333333
86 , 2020-03-27 , -60.81333333333333
87 , 2020-03-28 , -63.473333333333336
88 , 2020-03-29 , -70.61333333333334
