Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-1.705570
48,2020-02-18,-1.542487
49,2020-02-19,-1.307521
50,2020-02-20,-2.387756
51,2020-02-21,-5.689131
52,2020-02-22,-6.431931
53,2020-02-23,-4.637082
54,2020-02-24,-8.799117
55,2020-02-25,-14.573302
56,2020-02-26,-12.497302
57,2020-02-27,-7.358058
58,2020-02-28,-5.316204
59,2020-02-29,-4.309361
60,2020-03-01,-2.152497
61,2020-03-02,-0.343131
62,2020-03-03,-0.435678
63,2020-03-04,-0.788302
64,2020-03-05,-0.802351
65,2020-03-06,-1.323912
66,2020-03-07,-1.335151
67,2020-03-08,-0.212302
68,2020-03-09,-0.226351
69,2020-03-10,-0.869082
70,2020-03-11,-2.150741
71,2020-03-12,-2.336929
72,2020-03-13,-3.015034
73,2020-03-14,-4.082741
74,2020-03-15,-4.983619
75,2020-03-16,-10.328156
76,2020-03-17,-17.444367
77,2020-03-18,-25.840570
78,2020-03-19,-30.911396
79,2020-03-20,-34.900999
80,2020-03-21,-35.198058
81,2020-03-22,-33.809570
82,2020-03-23,-36.373278
83,2020-03-24,-39.713024
84,2020-03-25,-43.850887
85,2020-03-26,-44.238019
86,2020-03-27,-44.086058
87,2020-03-28,-40.165082
88,2020-03-29,-37.132887
