Days,Date,Change
46,2020-02-16,-8.741209
47,2020-02-17,-5.717209
48,2020-02-18,-3.283944
49,2020-02-19,-1.146047
50,2020-02-20,-1.673488
51,2020-02-21,-2.025116
52,2020-02-22,-2.716651
53,2020-02-23,-3.044837
54,2020-02-24,-2.833860
55,2020-02-25,-2.552558
56,2020-02-26,-3.171423
57,2020-02-27,-2.890121
58,2020-02-28,-0.780353
59,2020-02-29,-1.652391
60,2020-03-01,-5.576558
61,2020-03-02,-7.475349
62,2020-03-03,-7.053395
63,2020-03-04,-6.209488
64,2020-03-05,-5.717209
65,2020-03-06,-4.873302
66,2020-03-07,-3.888744
67,2020-03-08,-5.759405
68,2020-03-09,-7.937488
69,2020-03-10,-7.254326
70,2020-03-11,-1.427349
71,2020-03-12,8.685470
72,2020-03-13,10.126140
73,2020-03-14,2.686698
74,2020-03-15,-16.072651
75,2020-03-16,-19.870233
76,2020-03-17,-14.367256
77,2020-03-18,-11.960558
78,2020-03-19,-15.572837
79,2020-03-20,-22.412502
80,2020-03-21,-23.087628
81,2020-03-22,-24.534326
82,2020-03-23,-25.150512
83,2020-03-24,-22.384372
84,2020-03-25,-20.133953
85,2020-03-26,-19.219721
86,2020-03-27,-18.811833
87,2020-03-28,-17.696000
88,2020-03-29,-18.466233
