Days,Date,Change
46,2020-02-16,-31.603724
47,2020-02-17,-17.868089
48,2020-02-18,-12.837543
49,2020-02-19,6.698242
50,2020-02-20,4.519952
51,2020-02-21,3.524286
52,2020-02-22,-4.797763
53,2020-02-23,-11.510953
54,2020-02-24,-4.506494
55,2020-02-25,2.895577
56,2020-02-26,1.095512
57,2020-02-27,7.449114
58,2020-02-28,14.512344
59,2020-02-29,3.849180
60,2020-03-01,-5.797153
61,2020-03-02,3.833605
62,2020-03-03,13.786581
63,2020-03-04,14.023067
64,2020-03-05,18.345075
65,2020-03-06,20.337617
66,2020-03-07,26.738655
67,2020-03-08,22.054050
68,2020-03-09,11.483322
69,2020-03-10,3.109156
70,2020-03-11,7.735356
71,2020-03-12,4.818011
72,2020-03-13,1.730451
73,2020-03-14,35.118958
74,2020-03-15,39.758221
75,2020-03-16,27.015389
76,2020-03-17,28.824220
77,2020-03-18,30.327737
78,2020-03-19,48.322201
79,2020-03-20,66.980842
80,2020-03-21,79.239968
81,2020-03-22,66.806196
82,2020-03-23,58.701344
83,2020-03-24,54.433237
84,2020-03-25,61.956898
85,2020-03-26,74.853106
86,2020-03-27,84.666191
87,2020-03-28,86.249386
88,2020-03-29,63.611465
