Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -0.046829268292668765
48 , 2020-02-18 , -0.046829268292668765
49 , 2020-02-19 , -0.046829268292668765
50 , 2020-02-20 , -0.046829268292668765
51 , 2020-02-21 , -0.046829268292668765
52 , 2020-02-22 , -0.046829268292668765
53 , 2020-02-23 , -0.046829268292668765
54 , 2020-02-24 , -0.046829268292668765
55 , 2020-02-25 , -0.046829268292668765
56 , 2020-02-26 , -0.046829268292668765
57 , 2020-02-27 , -0.046829268292668765
58 , 2020-02-28 , -0.8897560975609622
59 , 2020-02-29 , -1.7326829268292556
60 , 2020-03-01 , -1.7326829268292556
61 , 2020-03-02 , -1.311219512195109
62 , 2020-03-03 , -0.4682926829268155
63 , 2020-03-04 , -0.046829268292668765
64 , 2020-03-05 , -0.8897560975609622
65 , 2020-03-06 , -0.8897560975609622
66 , 2020-03-07 , -0.8897560975609622
67 , 2020-03-08 , -1.1004878048780355
68 , 2020-03-09 , -0.4682926829268155
69 , 2020-03-10 , 0.12175609756098997
70 , 2020-03-11 , 0.7960975609756249
71 , 2020-03-12 , 5.066926829268309
72 , 2020-03-13 , 10.396097560975624
73 , 2020-03-14 , 11.212264808362386
74 , 2020-03-15 , 8.48278745644601
75 , 2020-03-16 , 9.553170731707334
76 , 2020-03-17 , 14.001951219512213
77 , 2020-03-18 , 16.85853658536587
78 , 2020-03-19 , 18.048000000000016
79 , 2020-03-20 , 18.385170731707333
80 , 2020-03-21 , 15.968780487804894
81 , 2020-03-22 , 11.75414634146343
82 , 2020-03-23 , 12.128780487804894
83 , 2020-03-24 , 15.313170731707332
84 , 2020-03-25 , 18.497560975609776
85 , 2020-03-26 , 18.497560975609776
86 , 2020-03-27 , 17.865365853658556
87 , 2020-03-28 , 13.95512195121953
88 , 2020-03-29 , 11.145365853658555
