Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-6.633333
48,2020-02-18,-4.603333
49,2020-02-19,-1.733333
50,2020-02-20,-0.893333
51,2020-02-21,-0.893333
52,2020-02-22,-4.253333
53,2020-02-23,-4.573333
54,2020-02-24,-2.666667
55,2020-02-25,-3.329333
56,2020-02-26,-4.169333
57,2020-02-27,-2.033333
58,2020-02-28,4.514167
59,2020-02-29,10.184167
60,2020-03-01,12.966667
61,2020-03-02,14.226667
62,2020-03-03,11.046667
63,2020-03-04,7.842667
64,2020-03-05,7.646667
65,2020-03-06,7.086667
66,2020-03-07,6.386667
67,2020-03-08,8.066667
68,2020-03-09,6.806667
69,2020-03-10,3.906667
70,2020-03-11,2.116667
71,2020-03-12,-4.160000
72,2020-03-13,-13.115333
73,2020-03-14,-25.793333
74,2020-03-15,-32.993333
75,2020-03-16,-31.623333
76,2020-03-17,-28.573333
77,2020-03-18,-33.653333
78,2020-03-19,-38.693333
79,2020-03-20,-42.949333
80,2020-03-21,-45.670000
81,2020-03-22,-44.953333
82,2020-03-23,-41.166667
83,2020-03-24,-37.853333
84,2020-03-25,-37.643333
85,2020-03-26,-37.853333
86,2020-03-27,-39.323333
87,2020-03-28,-41.753333
88,2020-03-29,-42.706667
