Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-4.230244
48,2020-02-18,-2.825366
49,2020-02-19,-0.999024
50,2020-02-20,-1.589073
51,2020-02-21,-2.263415
52,2020-02-22,-2.263415
53,2020-02-23,-1.589073
54,2020-02-24,-0.507317
55,2020-02-25,2.325854
56,2020-02-26,2.794146
57,2020-02-27,2.794146
58,2020-02-28,2.119805
59,2020-02-29,0.967805
60,2020-03-01,0.602537
61,2020-03-02,1.108293
62,2020-03-03,1.614049
63,2020-03-04,1.782634
64,2020-03-05,1.529756
65,2020-03-06,1.361171
66,2020-03-07,0.897561
67,2020-03-08,-0.472195
68,2020-03-09,-1.504780
69,2020-03-10,-1.083317
70,2020-03-11,-2.403902
71,2020-03-12,-12.125659
72,2020-03-13,-28.417647
73,2020-03-14,-32.741538
74,2020-03-15,-26.232795
75,2020-03-16,-33.732683
76,2020-03-17,-41.206634
77,2020-03-18,-52.558049
78,2020-03-19,-54.440585
79,2020-03-20,-55.719024
80,2020-03-21,-43.777561
81,2020-03-22,-36.893659
82,2020-03-23,-40.405854
83,2020-03-24,-46.453215
84,2020-03-25,-55.297561
85,2020-03-26,-54.524878
86,2020-03-27,-55.367805
87,2020-03-28,-44.831220
88,2020-03-29,-37.139512
