Days,Date,Change
46,2020-02-16,1.585261
47,2020-02-17,0.178585
48,2020-02-18,-0.516784
49,2020-02-19,-0.914172
50,2020-02-20,-0.380426
51,2020-02-21,0.839717
52,2020-02-22,0.868051
53,2020-02-23,4.780733
54,2020-02-24,4.756039
55,2020-02-25,1.313388
56,2020-02-26,0.178113
57,2020-02-27,3.957427
58,2020-02-28,-0.598806
59,2020-02-29,-2.161592
60,2020-03-01,1.362720
61,2020-03-02,2.984264
62,2020-03-03,1.814414
63,2020-03-04,2.230308
64,2020-03-05,2.258642
65,2020-03-06,1.435178
66,2020-03-07,0.609059
67,2020-03-08,2.080815
68,2020-03-09,3.811944
69,2020-03-10,8.687075
70,2020-03-11,14.308384
71,2020-03-12,21.162639
72,2020-03-13,26.684311
73,2020-03-14,7.941629
74,2020-03-15,-17.088458
75,2020-03-16,-39.061019
76,2020-03-17,-39.697906
77,2020-03-18,-38.993928
78,2020-03-19,-46.913227
79,2020-03-20,-49.154426
80,2020-03-21,-49.230042
81,2020-03-22,-60.895458
82,2020-03-23,-64.627560
83,2020-03-24,-57.394152
84,2020-03-25,-50.577344
85,2020-03-26,-52.333535
86,2020-03-27,-52.256678
87,2020-03-28,-54.854497
88,2020-03-29,-63.641178
