Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 10.368594861846063
48 , 2020-02-18 , 7.502889614385105
49 , 2020-02-19 , 6.135596881492384
50 , 2020-02-20 , 9.266001751807925
51 , 2020-02-21 , 14.640064281215853
52 , 2020-02-22 , 26.57198526164917
53 , 2020-02-23 , 32.81813193574775
54 , 2020-02-24 , 34.73257942856317
55 , 2020-02-25 , 28.34228299660498
56 , 2020-02-26 , 19.61453809458316
57 , 2020-02-27 , 12.741120722729358
58 , 2020-02-28 , 19.0280515697502
59 , 2020-02-29 , 24.5186882043635
60 , 2020-03-01 , 17.371939511955013
61 , 2020-03-02 , 5.994852290742215
62 , 2020-03-03 , -1.742806222537503
63 , 2020-03-04 , -0.7456482051207667
64 , 2020-03-05 , 3.628087416662463
65 , 2020-03-06 , 2.2779178098057997
66 , 2020-03-07 , 4.726849134592434
67 , 2020-03-08 , 9.510298169288365
68 , 2020-03-09 , 15.771524869157338
69 , 2020-03-10 , 13.369923050751774
70 , 2020-03-11 , 11.515455144307007
71 , 2020-03-12 , 9.467620074849995
72 , 2020-03-13 , -3.019698985276664
73 , 2020-03-14 , -23.03945795299072
74 , 2020-03-15 , -47.743354639757335
75 , 2020-03-16 , -62.61945954554338
76 , 2020-03-17 , -73.565194095973
77 , 2020-03-18 , -73.4120199503413
78 , 2020-03-19 , -74.88425298422646
79 , 2020-03-20 , -76.68976987614282
80 , 2020-03-21 , -80.4178302194103
81 , 2020-03-22 , -85.84686187501354
82 , 2020-03-23 , -85.51585183469302
83 , 2020-03-24 , -82.05087539723328
84 , 2020-03-25 , -79.58755318763887
85 , 2020-03-26 , -79.56763296004863
86 , 2020-03-27 , -79.65134795103623
87 , 2020-03-28 , -83.02599364426715
88 , 2020-03-29 , -86.86339807301128
