Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , -1.9950344827586406
48 , 2020-02-18 , -1.7169655172413982
49 , 2020-02-19 , -1.438896551724156
50 , 2020-02-20 , -1.438896551724156
51 , 2020-02-21 , -1.438896551724156
52 , 2020-02-22 , -2.3773793103448426
53 , 2020-02-23 , -3.2115862068965626
54 , 2020-02-24 , -2.6206896551724235
55 , 2020-02-25 , -1.1608275862069064
56 , 2020-02-26 , -0.3961379310344953
57 , 2020-02-27 , -1.0217931034482926
58 , 2020-02-28 , -1.0217931034482926
59 , 2020-02-29 , -0.8827586206896713
60 , 2020-03-01 , -2.6067862068965697
61 , 2020-03-02 , -2.365793103448292
62 , 2020-03-03 , -0.7993379310344949
63 , 2020-03-04 , -0.708965517241392
64 , 2020-03-05 , -1.438896551724156
65 , 2020-03-06 , -1.3693793103448437
66 , 2020-03-07 , -1.383282758620703
67 , 2020-03-08 , -1.8560000000000159
68 , 2020-03-09 , -1.9394206896551907
69 , 2020-03-10 , -1.438896551724156
70 , 2020-03-11 , -0.9383724137931182
71 , 2020-03-12 , -0.1875862068965652
72 , 2020-03-13 , 3.5107310344827454
73 , 2020-03-14 , 6.798896551724125
74 , 2020-03-15 , 11.120551724137918
75 , 2020-03-16 , 16.45020689655171
76 , 2020-03-17 , 19.27724137931033
77 , 2020-03-18 , 24.073931034482747
78 , 2020-03-19 , 26.312386206896537
79 , 2020-03-20 , 28.314482758620677
80 , 2020-03-21 , 29.218206896551713
81 , 2020-03-22 , 25.18620689655171
82 , 2020-03-23 , 23.567448275862056
83 , 2020-03-24 , 25.144496551724124
84 , 2020-03-25 , 28.175448275862056
85 , 2020-03-26 , 28.68524137931033
86 , 2020-03-27 , 30.075586206896542
87 , 2020-03-28 , 29.241379310344815
88 , 2020-03-29 , 26.05020689655171
