Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,-0.621620
48,2020-02-18,-1.471592
49,2020-02-19,-2.258506
50,2020-02-20,-1.429651
51,2020-02-21,-0.670894
52,2020-02-22,-0.123486
53,2020-02-23,2.298240
54,2020-02-24,4.008000
55,2020-02-25,0.396939
56,2020-02-26,-1.804542
57,2020-02-27,-0.332430
58,2020-02-28,-0.554529
59,2020-02-29,-1.785888
60,2020-03-01,-1.566473
61,2020-03-02,-1.810691
62,2020-03-03,-3.036444
63,2020-03-04,-3.545587
64,2020-03-05,-2.248240
65,2020-03-06,-2.329043
66,2020-03-07,-2.553855
67,2020-03-08,-1.669274
68,2020-03-09,-0.893212
69,2020-03-10,-2.482760
70,2020-03-11,-4.291458
71,2020-03-12,-10.879358
72,2020-03-13,-20.149714
73,2020-03-14,-45.506697
74,2020-03-15,-61.695023
75,2020-03-16,-83.347542
76,2020-03-17,-84.562844
77,2020-03-18,-84.747151
78,2020-03-19,-86.558196
79,2020-03-20,-87.919559
80,2020-03-21,-90.091079
81,2020-03-22,-93.623698
82,2020-03-23,-93.265203
83,2020-03-24,-89.881358
84,2020-03-25,-88.140147
85,2020-03-26,-88.786425
86,2020-03-27,-89.326456
87,2020-03-28,-91.765726
88,2020-03-29,-93.943701
