Days,Date,Change
46 , 2020-02-16 , 3.6656616221534506
47 , 2020-02-17 , 3.2790948812176546
48 , 2020-02-18 , 3.0788113081976007
49 , 2020-02-19 , 2.1022830521716713
50 , 2020-02-20 , 2.6083976966926343
51 , 2020-02-21 , 4.744567840504665
52 , 2020-02-22 , 8.903213171677441
53 , 2020-02-23 , 11.347917242975802
54 , 2020-02-24 , 7.535023582858322
55 , 2020-02-25 , 4.7186087560404175
56 , 2020-02-26 , 2.028080905118807
57 , 2020-02-27 , 1.8642761653983275
58 , 2020-02-28 , 2.332789721924848
59 , 2020-02-29 , 2.696522468821456
60 , 2020-03-01 , 3.3123847333545684
61 , 2020-03-02 , 0.3493156630689758
62 , 2020-03-03 , -2.1911745131513976
63 , 2020-03-04 , -1.0072069214965496
64 , 2020-03-05 , 0.05052368413439301
65 , 2020-03-06 , -0.40903961341472683
66 , 2020-03-07 , 0.6355072774096671
67 , 2020-03-08 , 2.4423762261639674
68 , 2020-03-09 , 3.622104806273344
69 , 2020-03-10 , 0.7272432651407935
70 , 2020-03-11 , -4.623578228536687
71 , 2020-03-12 , -10.794423449752584
72 , 2020-03-13 , -22.129851442460712
73 , 2020-03-14 , -37.23788304059723
74 , 2020-03-15 , -53.46579148702218
75 , 2020-03-16 , -65.39094765473537
76 , 2020-03-17 , -72.94863856014352
77 , 2020-03-18 , -75.28320611128794
78 , 2020-03-19 , -77.82777973899708
79 , 2020-03-20 , -80.31530171590612
80 , 2020-03-21 , -81.90773112647933
81 , 2020-03-22 , -85.33774704129169
82 , 2020-03-23 , -85.93766023322434
83 , 2020-03-24 , -84.13974571023465
84 , 2020-03-25 , -82.82417431059925
85 , 2020-03-26 , -83.32608883358893
86 , 2020-03-27 , -83.61169709771696
87 , 2020-03-28 , -85.40304893081398
88 , 2020-03-29 , -87.2707029717295
