Days,Date,Change
46 , 2020-02-16 , nan
47 , 2020-02-17 , 0.11926744989631999
48 , 2020-02-18 , 1.2874015203869895
49 , 2020-02-19 , 2.4416033172079956
50 , 2020-02-20 , 2.4137387698686723
51 , 2020-02-21 , 2.385874222529349
52 , 2020-02-22 , 1.3824602626122815
53 , 2020-02-23 , 0.807753973738753
54 , 2020-02-24 , -3.331630960608173
55 , 2020-02-25 , -5.750283344851434
56 , 2020-02-26 , -5.257719419488609
57 , 2020-02-27 , -3.104834830684189
58 , 2020-02-28 , -5.329811679336574
59 , 2020-02-29 , -6.580092144667144
60 , 2020-03-01 , -3.8553199723566167
61 , 2020-03-02 , -1.3181513476157711
62 , 2020-03-03 , -2.330635798203192
63 , 2020-03-04 , -0.888210089841067
64 , 2020-03-05 , 1.5249032480994984
65 , 2020-03-06 , 0.4577781617138754
66 , 2020-03-07 , -0.5068140981340861
67 , 2020-03-08 , -0.3261299239806661
68 , 2020-03-09 , 0.4350076019350212
69 , 2020-03-10 , 0.6597235659986017
70 , 2020-03-11 , -0.7584657912923448
71 , 2020-03-12 , -4.222750518313764
72 , 2020-03-13 , -10.1267910619673
73 , 2020-03-14 , -20.462206155972588
74 , 2020-03-15 , -31.97393780234971
75 , 2020-03-16 , -43.660783690393934
76 , 2020-03-17 , -54.579585348997945
77 , 2020-03-18 , -58.075549412577764
78 , 2020-03-19 , -65.36416033172081
79 , 2020-03-20 , -67.77912404975814
80 , 2020-03-21 , -66.83836903939185
81 , 2020-03-22 , -65.31069523151349
82 , 2020-03-23 , -66.10622805805114
83 , 2020-03-24 , -66.97177055977886
84 , 2020-03-25 , -67.716798894264
85 , 2020-03-26 , -68.36961299239809
86 , 2020-03-27 , -68.60602626123016
87 , 2020-03-28 , -67.80317899101591
88 , 2020-03-29 , -66.63997926744992
