Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,12.956667
48,2020-02-18,21.935758
49,2020-02-19,25.463333
50,2020-02-20,23.324444
51,2020-02-21,24.833333
52,2020-02-22,28.090667
53,2020-02-23,28.986667
54,2020-02-24,35.986667
55,2020-02-25,34.096667
56,2020-02-26,21.783030
57,2020-02-27,8.406667
58,2020-02-28,7.006667
59,2020-02-29,2.780417
60,2020-03-01,-5.761333
61,2020-03-02,-11.893333
62,2020-03-03,-2.821333
63,2020-03-04,0.324848
64,2020-03-05,-6.386667
65,2020-03-06,-9.144242
66,2020-03-07,-3.003333
67,2020-03-08,1.844167
68,2020-03-09,0.586667
69,2020-03-10,1.266667
70,2020-03-11,7.846667
71,2020-03-12,9.789167
72,2020-03-13,5.070000
73,2020-03-14,1.733333
74,2020-03-15,4.836667
75,2020-03-16,-0.917333
76,2020-03-17,-20.639216
77,2020-03-18,-39.219583
78,2020-03-19,-49.926667
79,2020-03-20,-59.563333
80,2020-03-21,-68.257333
81,2020-03-22,-75.962424
82,2020-03-23,-75.427879
83,2020-03-24,-69.853333
84,2020-03-25,-66.325333
85,2020-03-26,-67.543333
86,2020-03-27,-69.013333
87,2020-03-28,-72.373333
88,2020-03-29,-78.113333
