Days,Date,Change
46 , 2020-02-16 , -2.5577854671280282
47 , 2020-02-17 , -0.465051903114187
48 , 2020-02-18 , 0.9301038062283761
49 , 2020-02-19 , 1.627681660899657
50 , 2020-02-20 , 1.627681660899654
51 , 2020-02-21 , 1.627681660899654
52 , 2020-02-22 , -0.046505190311416866
53 , 2020-02-23 , -1.0510173010380586
54 , 2020-02-24 , -0.9766089965397812
55 , 2020-02-25 , 0.9022006920415293
56 , 2020-02-26 , 1.767197231833914
57 , 2020-02-27 , 1.962519031141872
58 , 2020-02-28 , 2.8833217993079607
59 , 2020-02-29 , 1.6276816608996587
60 , 2020-03-01 , 0.5115570934256084
61 , 2020-03-02 , 0.44179930795847966
62 , 2020-03-03 , 1.1626297577854718
63 , 2020-03-04 , 1.627681660899654
64 , 2020-03-05 , 1.627681660899654
65 , 2020-03-06 , 1.627681660899654
66 , 2020-03-07 , 1.1044982698961938
67 , 2020-03-08 , 0.26740484429065603
68 , 2020-03-09 , -0.04650519031142153
69 , 2020-03-10 , 0.1767197231833933
70 , 2020-03-11 , 0.13951557093425984
71 , 2020-03-12 , -0.046505190311418684
72 , 2020-03-13 , 0.45575086505190254
73 , 2020-03-14 , 1.6276816608996565
74 , 2020-03-15 , 2.674048442906578
75 , 2020-03-16 , 6.036373702422148
76 , 2020-03-17 , 12.126228373702423
77 , 2020-03-18 , 20.681522491349483
78 , 2020-03-19 , 25.833633217993075
79 , 2020-03-20 , 30.856193771626295
80 , 2020-03-21 , 30.90851211072664
81 , 2020-03-22 , 25.81038062283737
82 , 2020-03-23 , 22.220179930795847
83 , 2020-03-24 , 24.886920415224914
84 , 2020-03-25 , 31.76304498269896
85 , 2020-03-26 , 31.260788927335643
86 , 2020-03-27 , 32.321107266435995
87 , 2020-03-28 , 30.632968858131484
88 , 2020-03-29 , 26.16973891160742
