Days,Date,Change
46 , 2020-02-16 , 1.350874737578735
47 , 2020-02-17 , 1.1498390482855143
48 , 2020-02-18 , 0.7195521343596926
49 , 2020-02-19 , -1.2046466060181935
50 , 2020-02-20 , -3.1454723582925124
51 , 2020-02-21 , -3.599540937718686
52 , 2020-02-22 , -4.969405178446469
53 , 2020-02-23 , -3.2285654303708906
54 , 2020-02-24 , 1.0529321203638955
55 , 2020-02-25 , 1.2844506648005687
56 , 2020-02-26 , -1.8370104968509395
57 , 2020-02-27 , -6.152302309307207
58 , 2020-02-28 , -5.9443526941917435
59 , 2020-02-29 , -5.430426871938415
60 , 2020-03-01 , -5.1140097970608736
61 , 2020-03-02 , -4.875059482155347
62 , 2020-03-03 , -5.6971308607417726
63 , 2020-03-04 , -5.445038488453458
64 , 2020-03-05 , -6.032526242127356
65 , 2020-03-06 , -7.066759972008384
66 , 2020-03-07 , -5.6551434569628976
67 , 2020-03-08 , -3.974219734079765
68 , 2020-03-09 , -4.069531140657792
69 , 2020-03-10 , -4.668439468159543
70 , 2020-03-11 , -6.146962911126657
71 , 2020-03-12 , -7.699610916724976
72 , 2020-03-13 , -8.605682295311397
73 , 2020-03-14 , -13.597701189643088
74 , 2020-03-15 , -21.81535339398179
75 , 2020-03-16 , -34.23820293911825
76 , 2020-03-17 , -51.47710414148482
77 , 2020-03-18 , -65.32067179846045
78 , 2020-03-19 , -78.331429904362
79 , 2020-03-20 , -83.69886074177745
80 , 2020-03-21 , -85.99619314205735
81 , 2020-03-22 , -87.2638348495451
82 , 2020-03-23 , -85.89156053184041
83 , 2020-03-24 , -84.52028551434567
84 , 2020-03-25 , -83.74673897830648
85 , 2020-03-26 , -84.21238348495449
86 , 2020-03-27 , -84.43140657802657
87 , 2020-03-28 , -85.91907067879634
88 , 2020-03-29 , -88.17172848145555
