Days,Date,Change
46,2020-02-16,5.741549
47,2020-02-17,-1.066662
48,2020-02-18,-3.220425
49,2020-02-19,-5.197383
50,2020-02-20,-5.180607
51,2020-02-21,-3.783014
52,2020-02-22,4.668539
53,2020-02-23,8.500267
54,2020-02-24,6.675044
55,2020-02-25,-0.079762
56,2020-02-26,-3.834131
57,2020-02-27,-4.925111
58,2020-02-28,-4.463053
59,2020-02-29,-1.133278
60,2020-03-01,1.169898
61,2020-03-02,-1.073577
62,2020-03-03,-3.732723
63,2020-03-04,-4.678704
64,2020-03-05,-5.833500
65,2020-03-06,-5.086704
66,2020-03-07,-1.862723
67,2020-03-08,-0.603014
68,2020-03-09,-3.518490
69,2020-03-10,-5.015461
70,2020-03-11,-5.251558
71,2020-03-12,-5.865393
72,2020-03-13,-6.622238
73,2020-03-14,-10.513645
74,2020-03-15,-15.884374
75,2020-03-16,-24.733878
76,2020-03-17,-40.300498
77,2020-03-18,-59.203978
78,2020-03-19,-71.647860
79,2020-03-20,-78.520296
80,2020-03-21,-79.902043
81,2020-03-22,-82.222310
82,2020-03-23,-82.875102
83,2020-03-24,-82.597034
84,2020-03-25,-82.081849
85,2020-03-26,-82.067869
86,2020-03-27,-82.808665
87,2020-03-28,-83.365878
88,2020-03-29,-84.035985
