Days,Date,Change
46,2020-02-16,-4.183237
47,2020-02-17,-10.357615
48,2020-02-18,-12.381410
49,2020-02-19,-13.934180
50,2020-02-20,-13.648282
51,2020-02-21,-14.889895
52,2020-02-22,-11.472330
53,2020-02-23,-6.459725
54,2020-02-24,-7.605756
55,2020-02-25,-11.428011
56,2020-02-26,-14.339226
57,2020-02-27,-14.296896
58,2020-02-28,-15.093334
59,2020-02-29,-11.370992
60,2020-03-01,-5.518007
61,2020-03-02,-3.163158
62,2020-03-03,-4.658749
63,2020-03-04,-4.845656
64,2020-03-05,-5.097029
65,2020-03-06,-5.493675
66,2020-03-07,-4.004383
67,2020-03-08,-2.297721
68,2020-03-09,-1.402468
69,2020-03-10,-1.426800
70,2020-03-11,-1.454607
71,2020-03-12,-1.478939
72,2020-03-13,-2.445256
73,2020-03-14,-4.336812
74,2020-03-15,-9.015288
75,2020-03-16,-21.541033
76,2020-03-17,-36.556361
77,2020-03-18,-53.543793
78,2020-03-19,-66.173079
79,2020-03-20,-71.011387
80,2020-03-21,-67.011481
81,2020-03-22,-62.585123
82,2020-03-23,-63.406268
83,2020-03-24,-69.153311
84,2020-03-25,-74.489589
85,2020-03-26,-74.318591
86,2020-03-27,-74.036169
87,2020-03-28,-68.592812
88,2020-03-29,-63.819621
