Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,2.866277
48,2020-02-18,1.897999
49,2020-02-19,2.138433
50,2020-02-20,5.032286
51,2020-02-21,8.724177
52,2020-02-22,9.283857
53,2020-02-23,6.128433
54,2020-02-24,4.876319
55,2020-02-25,0.506508
56,2020-02-26,-0.838683
57,2020-02-27,2.991739
58,2020-02-28,7.651824
59,2020-02-29,3.622628
60,2020-03-01,-2.249578
61,2020-03-02,-2.883978
62,2020-03-03,3.187192
63,2020-03-04,11.595345
64,2020-03-05,14.023674
65,2020-03-06,14.714834
66,2020-03-07,12.954631
67,2020-03-08,19.226284
68,2020-03-09,21.400758
69,2020-03-10,19.433715
70,2020-03-11,10.987932
71,2020-03-12,8.053832
72,2020-03-13,3.250561
73,2020-03-14,-4.236630
74,2020-03-15,-5.510543
75,2020-03-16,-8.697840
76,2020-03-17,-14.033983
77,2020-03-18,-23.562880
78,2020-03-19,-21.779495
79,2020-03-20,-17.433709
80,2020-03-21,-16.463069
81,2020-03-22,-18.268994
82,2020-03-23,-16.439314
83,2020-03-24,-15.111242
84,2020-03-25,-17.293022
85,2020-03-26,-18.063041
86,2020-03-27,-16.984009
87,2020-03-28,-15.269369
88,2020-03-29,-18.742694
