Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,1.144615
48,2020-02-18,2.801119
49,2020-02-19,4.222657
50,2020-02-20,3.682238
51,2020-02-21,5.698238
52,2020-02-22,6.760280
53,2020-02-23,5.444476
54,2020-02-24,3.752727
55,2020-02-25,1.396364
56,2020-02-26,1.154685
57,2020-02-27,3.555357
58,2020-02-28,4.563357
59,2020-02-29,2.568503
60,2020-03-01,-1.906573
61,2020-03-02,-3.759441
62,2020-03-03,2.607273
63,2020-03-04,5.867413
64,2020-03-05,5.202797
65,2020-03-06,3.752727
66,2020-03-07,1.384280
67,2020-03-08,5.994294
68,2020-03-09,6.546675
69,2020-03-10,0.933147
70,2020-03-11,-3.067133
71,2020-03-12,-7.507972
72,2020-03-13,-11.520000
73,2020-03-14,-18.075524
74,2020-03-15,-20.566154
75,2020-03-16,-26.040839
76,2020-03-17,-30.317203
77,2020-03-18,-39.010909
78,2020-03-19,-42.468252
79,2020-03-20,-45.005874
80,2020-03-21,-49.678322
81,2020-03-22,-57.714126
82,2020-03-23,-61.681678
83,2020-03-24,-61.464168
84,2020-03-25,-61.379580
85,2020-03-26,-61.591049
86,2020-03-27,-61.802517
87,2020-03-28,-63.494266
88,2020-03-29,-65.926154
