Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,5.233728
48,2020-02-18,4.709240
49,2020-02-19,3.922509
50,2020-02-20,3.290314
51,2020-02-21,4.877826
52,2020-02-22,6.205436
53,2020-02-23,6.009756
54,2020-02-24,5.495972
55,2020-02-25,4.343972
56,2020-02-26,3.051484
57,2020-02-27,3.547875
58,2020-02-28,5.561533
59,2020-02-29,7.735749
60,2020-03-01,7.294216
61,2020-03-02,-0.545003
62,2020-03-03,-14.228516
63,2020-03-04,-22.234564
64,2020-03-05,-18.176223
65,2020-03-06,-5.256028
66,2020-03-07,-1.907735
67,2020-03-08,2.587875
68,2020-03-09,0.912056
69,2020-03-10,-7.204125
70,2020-03-11,-11.460906
71,2020-03-12,-12.303833
72,2020-03-13,-12.093101
73,2020-03-14,-9.494077
74,2020-03-15,-4.725296
75,2020-03-16,-11.020285
76,2020-03-17,-22.882564
77,2020-03-18,-33.482369
78,2020-03-19,-37.240418
79,2020-03-20,-38.055247
80,2020-03-21,-36.959443
81,2020-03-22,-34.791916
82,2020-03-23,-40.489199
83,2020-03-24,-50.325854
84,2020-03-25,-55.588125
85,2020-03-26,-56.683930
86,2020-03-27,-54.600697
87,2020-03-28,-48.936028
88,2020-03-29,-42.906760
