Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,1.564444
48,2020-02-18,1.324444
49,2020-02-19,1.844444
50,2020-02-20,1.844444
51,2020-02-21,-0.693056
52,2020-02-22,-4.123056
53,2020-02-23,-2.600556
54,2020-02-24,1.459444
55,2020-02-25,2.194444
56,2020-02-26,5.134444
57,2020-02-27,12.811111
58,2020-02-28,16.731111
59,2020-02-29,17.864444
60,2020-03-01,19.458990
61,2020-03-02,-10.531556
62,2020-03-03,-20.034279
63,2020-03-04,-16.985556
64,2020-03-05,2.824444
65,2020-03-06,3.349444
66,2020-03-07,2.164444
67,2020-03-08,0.892444
68,2020-03-09,0.808444
69,2020-03-10,4.976944
70,2020-03-11,9.808889
71,2020-03-12,15.389444
72,2020-03-13,21.044444
73,2020-03-14,18.889444
74,2020-03-15,5.197444
75,2020-03-16,-5.600261
76,2020-03-17,-9.151919
77,2020-03-18,-14.053333
78,2020-03-19,-18.280556
79,2020-03-20,-16.513056
80,2020-03-21,-15.065556
81,2020-03-22,7.389181
82,2020-03-23,10.642339
83,2020-03-24,0.724444
84,2020-03-25,-45.310101
85,2020-03-26,-50.810449
86,2020-03-27,-45.357956
87,2020-03-28,-24.175556
88,2020-03-29,-32.226465
