Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,21.997757
48,2020-02-18,19.275454
49,2020-02-19,16.290460
50,2020-02-20,11.482321
51,2020-02-21,6.294413
52,2020-02-22,-4.209913
53,2020-02-23,-0.282324
54,2020-02-24,8.534923
55,2020-02-25,19.811748
56,2020-02-26,16.182875
57,2020-02-27,12.362569
58,2020-02-28,8.162080
59,2020-02-29,10.623557
60,2020-03-01,43.382080
61,2020-03-02,68.078905
62,2020-03-03,71.515661
63,2020-03-04,55.179094
64,2020-03-05,4.268794
65,2020-03-06,5.676289
66,2020-03-07,6.290060
67,2020-03-08,4.739091
68,2020-03-09,-1.749684
69,2020-03-10,-3.945778
70,2020-03-11,-0.232722
71,2020-03-12,8.511542
72,2020-03-13,10.681182
73,2020-03-14,3.723278
74,2020-03-15,-10.642947
75,2020-03-16,-18.637916
76,2020-03-17,-27.444358
77,2020-03-18,-25.780387
78,2020-03-19,-23.198441
79,2020-03-20,-24.191682
80,2020-03-21,-28.378644
81,2020-03-22,-36.452199
82,2020-03-23,-48.397488
83,2020-03-24,-56.566447
84,2020-03-25,-63.685056
85,2020-03-26,-66.330282
86,2020-03-27,-67.335177
87,2020-03-28,-66.735786
88,2020-03-29,-62.008442
