Days,Date,Change
46,2020-02-16,nan
47,2020-02-17,-1.443951
48,2020-02-18,-1.016958
49,2020-02-19,-0.792961
50,2020-02-20,-1.743197
51,2020-02-21,-1.564000
52,2020-02-22,-0.035222
53,2020-02-23,-0.024022
54,2020-02-24,-0.796461
55,2020-02-25,-1.342453
56,2020-02-26,-1.331953
57,2020-02-27,-1.317953
58,2020-02-28,-1.303953
59,2020-02-29,-1.289954
60,2020-03-01,-1.205809
61,2020-03-02,0.532003
62,2020-03-03,0.738384
63,2020-03-04,-0.501590
64,2020-03-05,0.036527
65,2020-03-06,0.470521
66,2020-03-07,0.974660
67,2020-03-08,1.708531
68,2020-03-09,2.188996
69,2020-03-10,1.445607
70,2020-03-11,1.850318
71,2020-03-12,4.051261
72,2020-03-13,5.694973
73,2020-03-14,8.695402
74,2020-03-15,10.596166
75,2020-03-16,13.340126
76,2020-03-17,15.803945
77,2020-03-18,17.497920
78,2020-03-19,18.911754
79,2020-03-20,20.313484
80,2020-03-21,19.569453
81,2020-03-22,17.145330
82,2020-03-23,18.111199
83,2020-03-24,22.126749
84,2020-03-25,27.134010
85,2020-03-26,29.273271
86,2020-03-27,27.993248
87,2020-03-28,25.645219
88,2020-03-29,23.031778
