Days,Date,Change
46,2020-02-16,nan
47,2020-02-17,6.087682
48,2020-02-18,3.585719
49,2020-02-19,2.293067
50,2020-02-20,3.820949
51,2020-02-21,1.417555
52,2020-02-22,-2.247118
53,2020-02-23,-1.966813
54,2020-02-24,1.477224
55,2020-02-25,2.908020
56,2020-02-26,0.550501
57,2020-02-27,0.771954
58,2020-02-28,0.785876
59,2020-02-29,0.048166
60,2020-03-01,7.470200
61,2020-03-02,11.707961
62,2020-03-03,7.764086
63,2020-03-04,-0.667523
64,2020-03-05,-3.573038
65,2020-03-06,-2.717858
66,2020-03-07,-3.795622
67,2020-03-08,-5.059118
68,2020-03-09,-7.729672
69,2020-03-10,-8.895586
70,2020-03-11,-8.124719
71,2020-03-12,-9.726717
72,2020-03-13,-20.254132
73,2020-03-14,-32.745118
74,2020-03-15,-52.716077
75,2020-03-16,-62.648444
76,2020-03-17,-58.589679
77,2020-03-18,-57.837085
78,2020-03-19,-62.989109
79,2020-03-20,-66.010303
80,2020-03-21,-69.238041
81,2020-03-22,-71.181949
82,2020-03-23,-73.677386
83,2020-03-24,-76.034005
84,2020-03-25,-80.185691
85,2020-03-26,-81.675088
86,2020-03-27,-80.127756
87,2020-03-28,-79.712507
88,2020-03-29,-80.184780
