Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,5.102098
48,2020-02-18,-5.259860
49,2020-02-19,-9.847808
50,2020-02-20,-7.106685
51,2020-02-21,1.356084
52,2020-02-22,-2.722238
53,2020-02-23,-2.631608
54,2020-02-24,3.551329
55,2020-02-25,5.694210
56,2020-02-26,4.573427
57,2020-02-27,4.679161
58,2020-02-28,5.947972
59,2020-02-29,3.504336
60,2020-03-01,0.469930
61,2020-03-02,-6.981818
62,2020-03-03,-7.501427
63,2020-03-04,-3.497622
64,2020-03-05,0.816336
65,2020-03-06,-0.577343
66,2020-03-07,-3.114965
67,2020-03-08,-6.232615
68,2020-03-09,-9.136783
69,2020-03-10,-8.995804
70,2020-03-11,-10.264615
71,2020-03-12,-13.906573
72,2020-03-13,-21.378462
73,2020-03-14,-27.222378
74,2020-03-15,-39.259301
75,2020-03-16,-45.904112
76,2020-03-17,-51.430490
77,2020-03-18,-55.857231
78,2020-03-19,-59.372308
79,2020-03-20,-61.045259
80,2020-03-21,-61.510490
81,2020-03-22,-62.356364
82,2020-03-23,-68.488951
83,2020-03-24,-71.953007
84,2020-03-25,-79.445035
85,2020-03-26,-81.007888
86,2020-03-27,-79.928392
87,2020-03-28,-76.806713
88,2020-03-29,-76.552951
