Days,Date,Change
46,2020-02-16,nan
47,2020-02-17,2.221176
48,2020-02-18,-0.011073
49,2020-02-19,-0.369827
50,2020-02-20,1.663114
51,2020-02-21,2.011903
52,2020-02-22,0.860900
53,2020-02-23,1.216664
54,2020-02-24,1.942145
55,2020-02-25,2.221176
56,2020-02-26,2.221176
57,2020-02-27,2.221176
58,2020-02-28,1.384083
59,2020-02-29,0.546990
60,2020-03-01,-1.984221
61,2020-03-02,-27.584930
62,2020-03-03,-32.909525
63,2020-03-04,-27.937439
64,2020-03-05,1.718920
65,2020-03-06,2.221176
66,2020-03-07,2.221176
67,2020-03-08,1.279446
68,2020-03-09,-0.185467
69,2020-03-10,-0.290104
70,2020-03-11,-5.671419
71,2020-03-12,-10.230588
72,2020-03-13,-15.413592
73,2020-03-14,-21.403460
74,2020-03-15,-28.239723
75,2020-03-16,-34.132595
76,2020-03-17,-41.563460
77,2020-03-18,-44.695917
78,2020-03-19,-48.255557
79,2020-03-20,-49.783253
80,2020-03-21,-48.618298
81,2020-03-22,-45.393495
82,2020-03-23,-47.446367
83,2020-03-24,-52.608443
84,2020-03-25,-70.312969
85,2020-03-26,-72.091792
86,2020-03-27,-68.708540
87,2020-03-28,-57.172595
88,2020-03-29,-54.933702
