Days,Date,Change
46,2020-02-16,0.000000
47,2020-02-17,0.075222
48,2020-02-18,-0.089616
49,2020-02-19,-0.541740
50,2020-02-20,-0.739510
51,2020-02-21,-0.216260
52,2020-02-22,0.869143
53,2020-02-23,8.159679
54,2020-02-24,15.583390
55,2020-02-25,14.279476
56,2020-02-26,3.961225
57,2020-02-27,-2.283414
58,2020-02-28,-3.526185
59,2020-02-29,-3.300478
60,2020-03-01,-4.334503
61,2020-03-02,-5.844990
62,2020-03-03,-5.359087
63,2020-03-04,-3.040627
64,2020-03-05,-0.551495
65,2020-03-06,-0.540853
66,2020-03-07,-0.314702
67,2020-03-08,0.547330
68,2020-03-09,-0.072588
69,2020-03-10,-1.402589
70,2020-03-11,-7.675601
71,2020-03-12,-13.707608
72,2020-03-13,-21.644378
73,2020-03-14,-31.990371
74,2020-03-15,-41.810675
75,2020-03-16,-49.383875
76,2020-03-17,-46.072264
77,2020-03-18,-41.658094
78,2020-03-19,-43.889001
79,2020-03-20,-43.094519
80,2020-03-21,-46.439876
81,2020-03-22,-62.563788
82,2020-03-23,-67.856777
83,2020-03-24,-62.724334
84,2020-03-25,-49.886864
85,2020-03-26,-52.158478
86,2020-03-27,-51.752412
87,2020-03-28,-51.341395
88,2020-03-29,-60.884094
