Days,Date,Change
46,2020-02-16,21.295654
47,2020-02-17,13.211237
48,2020-02-18,10.985789
49,2020-02-19,11.523060
50,2020-02-20,12.544337
51,2020-02-21,15.109908
52,2020-02-22,22.488551
53,2020-02-23,24.701847
54,2020-02-24,23.268244
55,2020-02-25,19.539615
56,2020-02-26,8.407389
57,2020-02-27,2.430724
58,2020-02-28,1.055197
59,2020-02-29,3.644286
60,2020-03-01,-10.085532
61,2020-03-02,-19.884907
62,2020-03-03,-23.054112
63,2020-03-04,-6.909050
64,2020-03-05,-2.387190
65,2020-03-06,-6.299913
66,2020-03-07,-6.987656
67,2020-03-08,-2.878241
68,2020-03-09,-10.352065
69,2020-03-10,-18.489299
70,2020-03-11,-32.187541
71,2020-03-12,-44.987962
72,2020-03-13,-53.380903
73,2020-03-14,-69.549861
74,2020-03-15,-76.084497
75,2020-03-16,-78.052802
76,2020-03-17,-74.008065
77,2020-03-18,-70.775586
78,2020-03-19,-73.315829
79,2020-03-20,-75.855190
80,2020-03-21,-80.808414
81,2020-03-22,-86.137806
82,2020-03-23,-89.478947
83,2020-03-24,-87.215402
84,2020-03-25,-83.231681
85,2020-03-26,-84.108114
86,2020-03-27,-85.011292
87,2020-03-28,-86.200693
88,2020-03-29,-88.380312
