Days,Date,Change
46,2020-02-16,-2.276404
47,2020-02-17,-2.269385
48,2020-02-18,-2.258855
49,2020-02-19,-2.244817
50,2020-02-20,-2.234287
51,2020-02-21,-2.220249
52,2020-02-22,-2.209719
53,2020-02-23,-1.986413
54,2020-02-24,-0.087214
55,2020-02-25,1.735795
56,2020-02-26,4.124455
57,2020-02-27,4.557028
58,2020-02-28,4.152533
59,2020-02-29,2.700384
60,2020-03-01,2.292379
61,2020-03-02,2.932026
62,2020-03-03,2.946065
63,2020-03-04,2.960104
64,2020-03-05,3.812967
65,2020-03-06,4.938418
66,2020-03-07,5.346365
67,2020-03-08,4.520176
68,2020-03-09,6.431689
69,2020-03-10,9.844661
70,2020-03-11,14.630959
71,2020-03-12,19.018065
72,2020-03-13,22.366318
73,2020-03-14,24.296593
74,2020-03-15,22.583789
75,2020-03-16,23.116545
76,2020-03-17,25.102952
77,2020-03-18,27.700147
78,2020-03-19,28.687257
79,2020-03-20,29.608267
80,2020-03-21,27.647891
81,2020-03-22,25.564578
82,2020-03-23,26.000953
83,2020-03-24,28.473749
84,2020-03-25,31.558357
85,2020-03-26,32.688635
86,2020-03-27,33.876501
87,2020-03-28,31.529695
88,2020-03-29,26.519271
